Parameter	Value	Uncertainty
nu1_1	2.794	3.678e+00
nu2_1	1.805	4.134e+00
nu1_2	1.786	3.925e+00
nu2_2	3.972	1.007e+01
nu1_3	7.801	1.116e+01
nu2_3	7.839	1.288e+01
T1	1.189	4.280e+00
T2	0.233	2.159e-01
T3	0.192	2.070e-01
m12_3	3.159	2.943e+00
m21_3	2.578	5.286e+00
m12_3i	0.567	6.497e-01
m21_3i	0.646	8.971e-01
P	0.167	2.610e-02
