Parameter	Value	Uncertainty
nu1_1	0.237	2.277e+00
nu2_1	0.719	1.904e+00
nu1_2	2.51	6.260e+00
nu2_2	1.847	8.060e+00
nu1_3	8.472	2.920e+01
nu2_3	7.934	2.351e+01
T1	0.217	5.233e+00
T2	1.41	5.093e+00
T3	0.228	6.936e-01
m1	0.093	4.090e-01
m1i	1.437	4.498e+00
m12_3	0.176	4.542e-02
m21_3	0.345	8.017e-01
m12_3i	0.737	4.568e+00
m21_3i	1.038	1.062e+01
P	0.449	7.507e-02
