Parameter	Value	Uncertainty
nu1_1	14.731	8.520e+02
nu2_1	0.412	3.497e+01
nu1_2	1.87	5.668e+00
nu2_2	2.298	2.147e+01
nu1_3	2.427	2.211e+01
nu2_3	8.183	6.873e+01
T1	0.318	2.035e+01
T2	0.895	6.756e+00
T3	0.244	1.916e+00
m1	1.503	9.303e+00
m1i	0.37	3.617e+00
m12_3	0.987	7.208e+00
m21_3	1.298	1.588e+01
m12_3i	0.094	4.891e-01
m21_3i	0.052	3.914e-01
P	0.27	5.886e-01
