Parameter	Value	Uncertainty
nu0	2.623e-02	4.149e-01
nu1_2	4.559e-02	4.988e-01
nu2_2	8.983e-02	1.174e+00
nu1_3	8.438e-02	9.992e-01
nu2_3	2.780e-01	3.214e+00
T1	4.827e-01	6.503e+00
T2	5.117e-02	4.579e-01
T3	8.932e-03	9.846e-02
m	4.538e+01	3.900e+02
mi	1.179e+00	6.710e+00
m12_3	5.965e+01	8.711e+02
m21_3	4.556e-01	1.551e+02
m12_3i	2.314e+01	2.064e+02
m21_3i	1.107e+01	1.504e+02
P	3.418e-01	7.927e-01
