Parameter	Value	Uncertainty
nu1_1	0.513	2.585e+01
nu2_1	23.53	5.999e+01
nu1_2	1.575	4.048e+01
nu2_2	1.396	3.167e+01
nu1_3	3.567	8.543e+01
nu2_3	1.691	3.673e+01
T1	0.826	7.661e+01
T2	0.777	2.261e+01
T3	0.13	4.175e+00
m12_3	0.383	2.303e+01
m21_3	3.296	5.402e+01
m12_3i	0.139	2.015e+00
m21_3i	0.466	1.079e+01
P	0.36	1.909e+00
