Parameter	Value	Uncertainty
nu1_1	4.209e+00	3.551e+00
nu2_1	6.221e+00	4.638e+00
nu1_2	1.771e+01	1.656e+01
nu2_2	1.998e+01	1.917e+01
T0	6.436e+00	6.701e+00
T	2.519e-01	2.550e-01
m	8.278e-01	9.403e-01
mi	4.068e-02	1.604e-01
m12_2	2.115e+00	2.495e+00
m21_2	2.768e-02	2.561e-01
m12_2i	2.349e-01	2.268e-01
m21_2i	2.876e-01	1.823e-01
P	2.431e-01	6.710e-02
p_misid	2.342e-03	8.269e-04
