Parameter	Value	Uncertainty
nu1_1	1.680e+00	6.022e+01
nu2_1	3.988e-01	7.113e+01
nu1_2	3.525e+00	1.196e+01
nu2_2	3.447e+00	1.597e+01
nu1_3	4.590e+00	2.608e+01
nu2_3	1.272e+01	7.052e+01
T1	1.320e+00	4.026e+01
T2	3.235e+00	5.069e+01
T3	4.249e-01	1.769e+00
m1	4.666e-01	6.405e-01
m1i	6.342e-03	1.202e-01
m12_3	1.965e+00	2.466e+01
m21_3	2.071e-01	3.124e-01
m12_3i	1.142e-01	1.547e-01
m21_3i	2.143e-01	8.202e-01
P	4.982e-01	1.820e+00
