Parameter	Value	Uncertainty
nu1_1	3.495e+00	7.124e+00
nu2_1	2.459e+00	2.580e+00
nu1_2	4.617e+00	4.794e+00
nu2_2	1.215e+01	1.807e+01
T0	3.394e+00	8.050e+00
T	4.083e-01	3.834e-01
m12_1	6.835e-03	3.248e+00
m21_1	1.646e+00	4.452e+00
m12_2	4.731e-01	4.733e-01
m21_2	7.415e-01	1.336e+00
m12_1i	1.295e-01	2.288e-01
m21_1i	2.073e-01	2.808e-01
m12_2i	1.290e-02	1.159e-01
m21_2i	3.144e-02	7.905e-02
P	5.393e-01	5.169e-01
