Parameter	Value	Uncertainty
nu1_1	1.341e-02	6.960e+00
nu2_1	2.192e-01	9.653e+01
nu1_2	2.618e+00	5.132e+00
nu2_2	1.019e+00	8.107e+00
nu1_3	1.661e+01	5.873e+01
nu2_3	2.417e+00	1.648e+00
T1	7.349e+00	4.529e+01
T2	9.667e-01	3.795e+00
T3	1.655e-01	1.084e+00
m1	5.543e-02	4.634e-01
m1i	2.735e+01	4.763e+01
m12_3	3.272e-02	1.179e+00
m21_3	3.989e+00	3.305e+00
m12_3i	1.938e-01	5.404e+00
m21_3i	6.877e-03	2.076e+01
P	8.413e-02	1.391e-01
