# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 02 12:21:24 CST 2020 [seed=1577989241174]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
160000	-389955.20566155366	-187.1077234048594	-389768.09793814877	0.08575351342352314	4.926203822398426	1.7422681652045051	3.425914657750215	0.23505958114497702	0.26917942124709765	0.2616539085278741	0.23410708908005093	1.0	1.0	-389768.09793814877	0.0	-185.95371445170954
170000	-389914.98828166036	-187.52785036429432	-389727.4604312961	0.08575761437468796	4.930073938917708	2.1303179800595116	3.4145489809931218	0.23307730515659056	0.2725850530086158	0.26301949834048943	0.231318143494304	1.0	1.0	-389727.4604312961	0.0	-186.17656957224125
180000	-389933.4448823456	-190.69234308237168	-389742.7525392632	0.08575383937008756	4.932254589533112	1.5206681423680182	3.4640397900388114	0.23619407845652918	0.27217622480008924	0.2625782786500232	0.22905141809335822	1.0	1.0	-389742.7525392632	0.0	-189.66162719673116
190000	-389936.4397144911	-186.78205065067553	-389749.6576638404	0.08498730878704766	4.91171358160339	1.97742339353467	3.4135266877716113	0.23767376033800083	0.2716549242641575	0.2593809192353707	0.2312903961624708	1.0	1.0	-389749.6576638404	0.0	-185.50558954494687
200000	-389947.2452224438	-188.06111899552133	-389759.18410344823	0.08489113088048486	4.893824683229329	1.6374845880992133	3.3905468196720574	0.23515288440357948	0.2726950782883666	0.2616468825230364	0.23050515478501737	1.0	1.0	-389759.18410344823	0.0	-186.9810160144655
210000	-389925.6411998811	-186.81398276902772	-389738.82721711206	0.08522722965141569	4.920921486715158	1.9797895410771662	3.411628383757863	0.2375172913008217	0.2710059464394818	0.26085070110354763	0.2306260611561488	1.0	1.0	-389738.82721711206	0.0	-185.53696304544755
220000	-389897.2019469441	-187.3944963384528	-389709.8074506057	0.08575477557325482	4.9285819621353015	1.8143018546979528	3.4031726981946897	0.23480909375821263	0.27110215843845376	0.2617408460167843	0.23234790178654932	1.0	1.0	-389709.8074506057	0.0	-186.2076068396671
230000	-389885.8398051421	-185.63546915447102	-389700.2043359876	0.08371001026931083	4.861647680962645	1.9824482399196703	3.4113628213760676	0.2377007368221501	0.27041609950419493	0.261397448357281	0.23048571531637402	1.0	1.0	-389700.2043359876	0.0	-184.35719657185567
240000	-389864.0346676672	-187.32598976469615	-389676.70867790247	0.08498725926505522	4.906358034789495	2.228156220754657	3.445114430392853	0.23373672221958192	0.27418191116664353	0.26065907572145885	0.23142229089231559	1.0	1.0	-389676.70867790247	0.0	-185.9195680159465
250000	-389858.3590080657	-188.78674655171753	-389669.572261514	0.08504282011705609	4.926167519535275	1.629626543174211	3.479606379617162	0.23512395181127166	0.27158996562053667	0.25985573221967473	0.2334303503485167	1.0	1.0	-389669.572261514	0.0	-187.6816437786903
260000	-389855.6930220843	-187.54970301813543	-389668.14331906615	0.08525736352147187	4.9411365441136	1.852055631952216	3.404396531808182	0.23303035320764168	0.27255162401378796	0.2631835511255765	0.23123447165299366	1.0	1.0	-389668.14331906615	0.0	-186.34180678501303
270000	-389848.7684149448	-187.40033290642486	-389661.3680820384	0.08631437041497625	4.915770101040182	1.6877418884106863	3.412049014299185	0.23532178352765024	0.26897670526158113	0.2618564042362853	0.23384510697448305	1.0	1.0	-389661.3680820384	0.0	-186.28277103839272
280000	-389854.8857696667	-187.48813332951786	-389667.3976363372	0.08465502645262403	4.926146797824771	2.143009856229315	3.4091562941443145	0.2372336756501186	0.2695576471522155	0.26177935366423055	0.23142932353343507	1.0	1.0	-389667.3976363372	0.0	-186.1327229353838
290000	-389857.65472495666	-186.9862753250032	-389670.66844963166	0.08498632542328581	4.9181356932833395	1.7779480107958494	3.3974621851707787	0.23557699220905257	0.26929668487909464	0.26196161374730237	0.23316470916455	1.0	1.0	-389670.66844963166	0.0	-185.8215466950129
300000	-389872.6059031922	-185.9437424150141	-389686.6621607772	0.0855060956348094	4.892271597918397	1.8808510289126945	3.484303664730602	0.23736127693985282	0.2696553558950453	0.26006109156027585	0.23292227560482565	1.0	1.0	-389686.6621607772	0.0	-184.69370336132212
310000	-389860.42735154944	-187.4562207593365	-389672.97113079013	0.08536303218381866	4.928896507950118	1.7575266226606814	3.4149757161433185	0.23476256190346503	0.26841159968278	0.2643166097553917	0.23250922865836288	1.0	1.0	-389672.97113079013	0.0	-186.29716051799068
320000	-389870.6047243834	-186.33107346732444	-389684.27365091606	0.0845917723073372	4.9043135631576344	1.94556052877577	3.4561692486271003	0.2358037815541615	0.2675530797611181	0.2620920055017265	0.23455113318299342	1.0	1.0	-389684.27365091606	0.0	-185.05658319423532
330000	-389855.04195116827	-186.26199444412129	-389668.77995672415	0.08534897415433877	4.898101539364844	2.123211335635037	3.403065501804543	0.2364223174761049	0.26872519528402805	0.26218045640358606	0.2326720308362805	1.0	1.0	-389668.77995672415	0.0	-184.91791199164803
340000	-389662.7429786955	-186.176289332657	-389476.5666893628	0.08530574617747701	4.90426586172869	1.9852087278427468	3.4257434547492966	0.23317924579229782	0.26978122073885474	0.26287730389948055	0.2341622295693662	1.0	1.0	-389476.5666893628	0.0	-184.89180149925326
350000	-389672.88107868604	-186.5700693416412	-389486.3110093444	0.08466193581998714	4.920970851143443	1.9399013927583093	3.424112207362698	0.2341993077492263	0.27250098933627953	0.2644614073412195	0.22883829557327395	1.0	1.0	-389486.3110093444	0.0	-185.30921515147813
360000	-389681.80532662047	-187.40495593760173	-389494.4003706829	0.08512464494737715	4.92623289942843	2.161601148953557	3.4187099093131703	0.23811968651280768	0.2694236636553688	0.2599428244308075	0.23251382540101523	1.0	1.0	-389494.4003706829	0.0	-186.03770111658395
370000	-389655.4814595907	-188.1812583920637	-389467.30020119867	0.08565677041884073	4.943250403913181	2.228388056535601	3.3777459709592756	0.2341648386654205	0.2722269673687781	0.26122562096345614	0.2323825730023445	1.0	1.0	-389467.30020119867	0.0	-186.79735121648878
380000	-389655.7254561927	-189.2100750308559	-389466.5153811618	0.08593224759231236	4.932220064869007	1.599023584578495	3.4052352391575016	0.23439185954099337	0.2733056979706332	0.2601893943657574	0.23211304812261524	1.0	1.0	-389466.5153811618	0.0	-188.14879995774226
390000	-389671.1449588897	-186.3703376476704	-389484.774621242	0.08551944894012521	4.905270821424931	1.8299409252149068	3.3954065390106187	0.23589699677024498	0.2694892315438804	0.26183692015676135	0.2327768515291126	1.0	1.0	-389484.774621242	0.0	-185.17747673886757
400000	-389555.27127321984	-187.56284014529422	-389367.7084330745	0.08496633199445117	4.947563081206748	1.9019230584298186	3.4245149459212847	0.23535973360986592	0.2678554531930529	0.26482186161092264	0.23196295158615782	1.0	1.0	-389367.7084330745	0.0	-186.3216225964134
410000	-389546.48010519263	-185.79681453203554	-389360.6832906606	0.08546364446007301	4.889242750414545	1.849486794897559	3.407331965603227	0.23436854055563125	0.2691371159310657	0.2626003025471374	0.23389404096616498	1.0	1.0	-389360.6832906606	0.0	-184.58932001946127
420000	-389542.3750069095	-186.50666868641144	-389355.8683382231	0.08542485542289045	4.908527449208252	2.120987538218041	3.38418471377818	0.23711982089451325	0.27037787831234117	0.26043010232524105	0.23207219846790383	1.0	1.0	-389355.8683382231	0.0	-185.16998788070828
430000	-389534.4404375534	-186.16598686618337	-389348.2744506872	0.0857369515293203	4.911382619612337	1.8876563765499648	3.44275988967048	0.23316853657633793	0.2718273834359127	0.261836997644175	0.23316708234357367	1.0	1.0	-389348.2744506872	0.0	-184.92619071571897
440000	-389538.7506828633	-186.3091370167416	-389352.4415458465	0.08516437570256467	4.879044991097559	1.7600042567730503	3.46583420735397	0.23410436180505373	0.27258412832579865	0.26078359839376136	0.23252791147538554	1.0	1.0	-389352.4415458465	0.0	-185.13165639104923
450000	-389541.74863587914	-186.16871835794274	-389355.5799175212	0.08484706725270072	4.893699838482248	1.927646671459576	3.4064998660673576	0.23510454816747883	0.27346708863341096	0.260179951822379	0.23124841137673044	1.0	1.0	-389355.5799175212	0.0	-184.9201116550009
460000	-389534.78372558847	-186.2535805296892	-389348.53014505876	0.08573761876494936	4.904153514544503	1.9125799632471843	3.4085152029772874	0.23547288906709393	0.27052731590195556	0.261965388526462	0.23203440650448787	1.0	1.0	-389348.53014505876	0.0	-185.01214366880873
470000	-389525.1650554327	-186.85495342579276	-389338.3101020069	0.08608972983484317	4.928433742779809	1.839747775394791	3.42476074217952	0.23662455047750278	0.27274886242341895	0.25985317519735984	0.23077341190171782	1.0	1.0	-389338.3101020069	0.0	-185.64689051996842
480000	-389523.07217041973	-186.591076665751	-389336.481093754	0.08575192466483426	4.929504145790506	1.8841070016125605	3.4238775523807528	0.23342016039189156	0.27086937143434403	0.2619815042424525	0.2337289639313113	1.0	1.0	-389336.481093754	0.0	-185.35948430538335
490000	-389521.3322025916	-186.61616794899078	-389334.7160346426	0.08590953466429498	4.922443887436832	1.87016500723998	3.4339388181809314	0.23661333029905085	0.27092362457209623	0.25991176118635917	0.23255128394249297	1.0	1.0	-389334.7160346426	0.0	-185.38863251252968
500000	-389531.57104660064	-186.71535229492835	-389344.85569430573	0.08446773253171874	4.907801781929045	1.9466975047880253	3.4179427057704737	0.23597358154843825	0.2706333626662561	0.25970458416921927	0.23368847161608547	1.0	1.0	-389344.85569430573	0.0	-185.45306969785636
510000	-389521.50936126406	-187.12996882108806	-389334.379392443	0.08491123174590626	4.912758709637894	2.104300605271034	3.3810258683954926	0.234624245316691	0.27461832659877805	0.2592444982302211	0.2315129298543089	1.0	1.0	-389334.379392443	0.0	-185.80225118441322
520000	-389527.6091456009	-186.49510543801367	-389341.1140401629	0.0868080394369078	4.922024394596493	1.8316017665223672	3.379755293318329	0.2351846538968655	0.27040632512895074	0.26007028091679635	0.23433874005738642	1.0	1.0	-389341.1140401629	0.0	-185.3066083980907
530000	-389525.54501342186	-187.1981187671052	-389338.34689465474	0.08552596265162551	4.941833959830934	1.8926946709800556	3.405862495425517	0.23741572257520135	0.26896103400693094	0.2623725946091354	0.23125064880873125	1.0	1.0	-389338.34689465474	0.0	-185.96802455454394
540000	-389520.117971644	-187.4866480814084	-389332.6313235626	0.08601558693644928	4.918652625028078	2.2360559528057387	3.42006180962099	0.235906081719262	0.27107213993277196	0.25965892529925416	0.2333628530487107	1.0	1.0	-389332.6313235626	0.0	-186.0850754769516
550000	-389527.1433143781	-185.68307035374076	-389341.46024402435	0.0851840975318402	4.880110071757377	2.02468129019505	3.3876121248930717	0.23527827695442066	0.27091733660677747	0.2618140444897935	0.23199034194900714	1.0	1.0	-389341.46024402435	0.0	-184.39170450745144
560000	-389520.6680600693	-186.3025992111901	-389334.36546085816	0.08639813621483025	4.9145490539921965	1.9872650088143793	3.424497384657305	0.23681001180735217	0.2724730998932971	0.2604096955336103	0.23030719276573935	1.0	1.0	-389334.36546085816	0.0	-185.01749373275194
570000	-389517.36240792996	-185.22686085898098	-389332.135547071	0.08529032146240517	4.877361085351666	1.850884838854723	3.418756166488862	0.23599829981503534	0.26884499020631925	0.2623934316321065	0.23276327834653787	1.0	1.0	-389332.135547071	0.0	-184.01477592582665
580000	-389527.9661997815	-188.97793371405535	-389338.98826606746	0.08588666535229905	4.902827597952731	2.473471018582586	3.3778214171549608	0.23393521988767405	0.27228020788620144	0.26197387705814984	0.23181069516797362	1.0	1.0	-389338.98826606746	0.0	-187.48965714194722
590000	-389523.487107022	-187.8222052368396	-389335.6649017852	0.08579131301512594	4.907973622922341	2.2606689832760125	3.4405287298109117	0.23553167768167646	0.27175552378631596	0.2622948183038256	0.23041798022818097	1.0	1.0	-389335.6649017852	0.0	-186.40283053258347
600000	-389514.0588780067	-187.3431718230392	-389326.7157061837	0.08704995265870782	4.9382556625291985	1.8046147294198518	3.422892778000103	0.23510838486084387	0.2704946539148242	0.2604577610060269	0.23393920021830406	1.0	1.0	-389326.7157061837	0.0	-186.15501643008207
610000	-389525.3004377647	-186.78383435841636	-389338.5166034062	0.0856103637369381	4.897287356450787	2.118835060373979	3.382828498556259	0.23495723712764077	0.27331164092547094	0.2600831464029156	0.23164797554397182	1.0	1.0	-389338.5166034062	0.0	-185.44862590437978
620000	-389519.96587492654	-187.24218487335068	-389332.72369005316	0.08549087190762367	4.89924344606695	1.6736251947797895	3.4243940753664615	0.2349500983346701	0.27225115761238045	0.2614829763314712	0.2313157677214774	1.0	1.0	-389332.72369005316	0.0	-186.12888129896905
630000	-389515.6240143614	-187.161419492832	-389328.46259486856	0.08481425445863196	4.918657990525905	1.7857867907425171	3.393799409493923	0.23621624463819366	0.27169772838780243	0.2602842639570121	0.23180176301699099	1.0	1.0	-389328.46259486856	0.0	-185.9935239309668
640000	-389523.1699300665	-186.46682484928917	-389336.7031052172	0.08475082403162792	4.914832421276154	1.950312956582004	3.4351004103678098	0.23443341083297248	0.270148768305536	0.26096622752403054	0.23445159333746013	1.0	1.0	-389336.7031052172	0.0	-185.1969373938863
650000	-389526.0498114606	-186.71146349477408	-389339.33834796585	0.08502311235291306	4.907059867857676	1.9378059942071284	3.462039124171449	0.2360368672415118	0.27111104886278015	0.2608815028977553	0.2319705809979521	1.0	1.0	-389339.33834796585	0.0	-185.4390082635615
660000	-389527.52083284874	-187.14612265961583	-389340.3747101891	0.08505922441502146	4.91147124239235	2.1068855754373086	3.3669267694458416	0.23393440577548064	0.2694021072415684	0.2604561847492316	0.2362073022337187	1.0	1.0	-389340.3747101891	0.0	-185.82193405397996
670000	-389527.6882239863	-187.05065231387943	-389340.63757167244	0.0858046303459177	4.9328549834591975	1.84136191791241	3.4365323786635997	0.23277780888473612	0.2729730629606456	0.2626369568937062	0.23161217126091144	1.0	1.0	-389340.63757167244	0.0	-185.83776997701528
680000	-389526.5656712813	-187.32998328930665	-389339.235687992	0.08598022601312945	4.951975174750888	1.914934598928558	3.479229855859871	0.23762288802749124	0.268699059419829	0.261246613154261	0.2324314393984182	1.0	1.0	-389339.235687992	0.0	-186.06367323196818
690000	-389525.4259238051	-186.71277606668212	-389338.7131477384	0.08555782309886718	4.923128274684732	1.9035510207584527	3.3937977785953835	0.23682077922163183	0.2710065690228757	0.25997710053332507	0.23219555122216687	1.0	1.0	-389338.7131477384	0.0	-185.4810190507386
700000	-389533.61656716245	-187.59316581257266	-389346.0234013499	0.08543001508177421	4.945289610876691	1.8345712201589779	3.462106836083536	0.2328312602632087	0.26998227739881653	0.26143998014307224	0.23574648219490194	1.0	1.0	-389346.0234013499	0.0	-186.375433611201
710000	-389528.95378282305	-186.49524228749397	-389342.45854053553	0.08489387708029819	4.9092526377341095	1.843189781218754	3.3723600484747296	0.23475101054625253	0.2694395213726067	0.26165775475817754	0.23415171332296264	1.0	1.0	-389342.45854053553	0.0	-185.3029327715415
720000	-389527.21633941797	-185.78220175286722	-389341.4341376651	0.08478881507463491	4.876223335648473	1.9131539924167844	3.418284107890252	0.235546631333348	0.27137152337675036	0.25993064935054405	0.23315119593935701	1.0	1.0	-389341.4341376651	0.0	-184.53718579585217
730000	-389519.3192234018	-186.2082622972727	-389333.1109611045	0.08519883212452029	4.898895410466952	1.8656578660216172	3.388848739305312	0.23463314701177235	0.27041964879751207	0.25998339099073603	0.23496381319997905	1.0	1.0	-389333.1109611045	0.0	-184.99827858383057
740000	-389483.80256131507	-187.91721412778367	-389295.8853471873	0.08551751972646589	4.902662723084158	1.6260502608693717	3.4329721231121497	0.2353057860818952	0.27168654523955477	0.25956935313416424	0.23343831554438524	1.0	1.0	-389295.8853471873	0.0	-186.8298750749099
750000	-389490.3264222276	-187.154530057257	-389303.1718921703	0.08544289216821674	4.923078929962625	2.0743138359588027	3.419577841612675	0.23517540374128607	0.26927084812277546	0.26239018183466645	0.23316356630127144	1.0	1.0	-389303.1718921703	0.0	-185.82820292664115
