Parameter	Value	Uncertainty
nu1_1	0.354	4.827e+01
nu2_1	0.14	9.052e+00
nu1_2	1.815	7.766e+01
nu2_2	1.585	7.434e+01
nu1_3	5.708	2.099e+02
nu2_3	4.976	1.928e+02
T1	0.776	8.608e+01
T2	1.249	4.902e+01
T3	0.15	3.898e+00
m1	1.962	7.495e+01
m1i	0.129	5.010e+00
m12_3	3.878	9.009e+01
m21_3	0.012	2.045e+01
m12_3i	0.284	1.343e+01
m21_3i	0.759	3.084e+01
P	0.358	3.540e+00
