Parameter	Value	Uncertainty
nu1_1	2.674e+00	2.537e+00
nu2_1	1.466e+00	3.421e-01
nu1_2	6.462e+00	6.441e+00
nu2_2	6.816e+00	6.003e+00
T0	1.078e+00	2.408e+00
T	1.652e-01	1.905e-01
m12_1	6.540e-03	2.785e-01
m21_1	1.779e+00	2.549e-01
m12_2	3.102e+00	4.305e+00
m21_2	3.677e+00	3.275e+00
m12_1i	3.950e-01	3.674e-01
m21_1i	4.049e-01	1.851e-01
m12_2i	3.423e-01	7.549e-01
m21_2i	9.314e-01	9.334e-01
P	1.956e-01	2.830e-02
