Parameter	Value	Uncertainty
nu1_1	5.442e-01	5.932e-01
nu2_1	7.182e+00	1.767e+02
nu1_2	5.592e+00	7.635e-01
nu2_2	3.238e+00	4.547e-01
nu1_3	1.798e+01	2.876e+00
nu2_3	1.358e+01	2.002e+00
T1	3.937e-01	6.885e-01
T2	4.695e+00	1.083e+00
T3	6.656e-01	1.331e-01
m1	2.860e-01	8.931e-02
m1i	1.512e-01	1.906e-02
m12_3	5.192e-01	1.044e-01
m21_3	8.698e-01	1.640e-01
m12_3i	2.453e-02	6.714e-03
m21_3i	9.048e-02	1.515e-02
P	4.682e-01	3.759e-02
p_misid	1.683e-04	3.333e-04
