Parameter	Value	Uncertainty
nu1_1	6.097e+00	2.639e+00
nu2_1	2.709e+00	1.198e+00
nu1_2	1.803e+01	8.654e+00
nu2_2	1.402e+01	6.463e+00
T0	5.117e+00	3.120e+00
T	7.027e-01	3.933e-01
m12_1	1.450e-01	8.071e-02
m21_1	5.698e-01	2.723e-01
m12_2	5.229e-01	2.885e-01
m21_2	8.533e-01	5.050e-01
m12_1i	1.071e-01	5.141e-02
m21_1i	2.252e-01	1.133e-01
m12_2i	4.117e-02	1.867e-02
m21_2i	9.764e-02	4.386e-02
P	4.958e-01	3.207e-02
p_misid	4.563e-05	1.917e-04
