Parameter	Value	Uncertainty
nu1_1	5.959e+00	7.874e-01
nu2_1	3.496e+00	5.107e-01
nu1_2	1.962e+01	2.738e+00
nu2_2	1.458e+01	2.223e+00
T0	5.550e+00	9.666e-01
T	7.575e-01	1.274e-01
m	2.259e-01	7.813e-02
mi	1.419e-01	2.124e-02
m12_2	4.805e-01	8.260e-02
m21_2	8.587e-01	2.471e-01
m12_2i	2.396e-02	6.595e-03
m21_2i	8.746e-02	1.836e-02
P	4.847e-01	3.564e-02
p_misid	5.583e-04	2.610e-04
