gene,kme
Mcavernosa04437,0
Mcavernosa04549,0
Mcavernosa04613,0
Mcavernosa04669,0
Mcavernosa04702,0
Mcavernosa04806,0
Mcavernosa04853,0
Mcavernosa04908,0
Mcavernosa05282,0.286680370093112
Mcavernosa05329,0
Mcavernosa05384,0
Mcavernosa05502,0
Mcavernosa05503,0
Mcavernosa05997,0
Mcavernosa06041,0
Mcavernosa06042,0
Mcavernosa06070,0.311099265876432
Mcavernosa06072,0
Mcavernosa12216,0
Mcavernosa12259,0
Mcavernosa12257,0
Mcavernosa12258,0
Mcavernosa12583,0
Mcavernosa12584,0
Mcavernosa12638,0
Mcavernosa12637,0.562761188264836
Mcavernosa12731,0
Mcavernosa12775,0
Mcavernosa12876,0
Mcavernosa12925,0.419618609290827
Mcavernosa12973,0
Mcavernosa13018,0.60839287355961
Mcavernosa13449,0.233148397447468
Mcavernosa13706,0
Mcavernosa27857,0.763808131412493
Mcavernosa28146,0
Mcavernosa28201,0
Mcavernosa28309,0.752052557214616
Mcavernosa28444,0
Mcavernosa28597,0.577503235024812
Mcavernosa28677,0.417107580813882
Mcavernosa28809,0
Mcavernosa08391,0
Mcavernosa08533,0
Mcavernosa08620,0.282750011697435
Mcavernosa08678,0
Mcavernosa08949,0.658039592067793
Mcavernosa14296,0
Mcavernosa14334,0.828411256343226
Mcavernosa14497,0
Mcavernosa14496,0
Mcavernosa14495,0
Mcavernosa14583,0
Mcavernosa14673,0
Mcavernosa14674,0
Mcavernosa14805,0
Mcavernosa15011,0.496448739945676
Mcavernosa15301,0
Mcavernosa11293,0
Mcavernosa11342,0
Mcavernosa11397,0.67448417722388
Mcavernosa11555,0
Mcavernosa11600,0
Mcavernosa11910,0.479145742767464
Mcavernosa11983,0
Mcavernosa12021,0
Mcavernosa12064,0
Mcavernosa12063,0
Mcavernosa12062,0
Mcavernosa31803,0
Mcavernosa31888,0
Mcavernosa31942,0
Mcavernosa32020,0
Mcavernosa32046,0.368156492286567
Mcavernosa32149,0
Mcavernosa32197,0.287737197847292
Mcavernosa32198,0
Mcavernosa32394,0
Mcavernosa32422,0
Mcavernosa18264,0
Mcavernosa18421,0
Mcavernosa18450,0
Mcavernosa18479,0
Mcavernosa18476,0
Mcavernosa18540,0.366783465256703
Mcavernosa18696,0
Mcavernosa18763,0
Mcavernosa06644,0.868697808800197
Mcavernosa06807,0.533466594064734
Mcavernosa06954,0.703206832521501
Mcavernosa07100,0
Mcavernosa19170,0
Mcavernosa19273,0
Mcavernosa19332,0.622884912518761
Mcavernosa19362,0.518848197395236
Mcavernosa19393,0
Mcavernosa19566,0
Mcavernosa19803,0
Mcavernosa20025,0
Mcavernosa21971,0
Mcavernosa22031,0.539318615741364
Mcavernosa22225,0
Mcavernosa22366,0
Mcavernosa22410,0.311397594185453
Mcavernosa22476,0
Mcavernosa22520,0
Mcavernosa22582,0
Mcavernosa22631,0
Mcavernosa22713,0
Mcavernosa15378,0
Mcavernosa15460,0.436110304580671
Mcavernosa15547,0
Mcavernosa15546,0
Mcavernosa15582,0
Mcavernosa15704,0
Mcavernosa15735,0.281390058105364
Mcavernosa15792,0
Mcavernosa15791,0
Mcavernosa15887,0
Mcavernosa16017,0.465721715223376
Mcavernosa16042,0
Mcavernosa16255,0
Mcavernosa16298,0
Mcavernosa16345,0
Mcavernosa10288,0
Mcavernosa10289,0
Mcavernosa10349,0
Mcavernosa10350,0
Mcavernosa10407,0
Mcavernosa10464,0
Mcavernosa10517,0
Mcavernosa10551,0
Mcavernosa10570,0
Mcavernosa10590,0
Mcavernosa10680,0.532605034328784
Mcavernosa10898,0
Mcavernosa10923,0
Mcavernosa10959,0
Mcavernosa11072,0.519423951980813
Mcavernosa11130,0
Mcavernosa11159,0
Mcavernosa11158,0
Mcavernosa11196,0
Mcavernosa11198,0
Mcavernosa11197,0
Mcavernosa09380,0
Mcavernosa09381,0
Mcavernosa09382,0
Mcavernosa09478,0
Mcavernosa09530,0
Mcavernosa09529,0
Mcavernosa09531,0
Mcavernosa09693,0
Mcavernosa09692,0
Mcavernosa09847,0
Mcavernosa10121,0
Mcavernosa10160,0
Mcavernosa10204,0
Mcavernosa10205,0
Mcavernosa20997,0
Mcavernosa21024,0
Mcavernosa21156,0
Mcavernosa21177,0
Mcavernosa21195,0
Mcavernosa21211,0
Mcavernosa21290,0
Mcavernosa21324,0
