gene,kme
Mcavernosa04437,0
Mcavernosa04702,0
Mcavernosa04806,0
Mcavernosa04853,0
Mcavernosa04908,0
Mcavernosa05282,0.286680370093112
Mcavernosa05384,0
Mcavernosa05502,0
Mcavernosa05503,0
Mcavernosa05997,0
Mcavernosa06041,0
Mcavernosa06042,0
Mcavernosa06070,0.311099265876432
Mcavernosa12216,0
Mcavernosa12257,0
Mcavernosa12258,0
Mcavernosa12583,0
Mcavernosa12584,0
Mcavernosa12637,0.562761188264836
Mcavernosa12775,0
Mcavernosa12876,0
Mcavernosa12925,0.419618609290827
Mcavernosa12973,0
Mcavernosa13018,0.60839287355961
Mcavernosa13449,0.233148397447468
Mcavernosa27857,0
Mcavernosa28146,0
Mcavernosa28201,0
Mcavernosa28309,0.752052557214616
Mcavernosa28444,0
Mcavernosa28597,0.577503235024812
Mcavernosa28677,0.417107580813882
Mcavernosa08533,0
Mcavernosa08620,0.282750011697435
Mcavernosa08678,0
Mcavernosa08949,0.658039592067793
Mcavernosa14296,0
Mcavernosa14334,0.828411256343226
Mcavernosa14496,0
Mcavernosa14495,0
Mcavernosa14673,0
Mcavernosa14805,0
Mcavernosa15301,0
Mcavernosa11293,0
Mcavernosa11342,0
Mcavernosa11555,0
Mcavernosa11600,0
Mcavernosa11910,0.479145742767464
Mcavernosa12063,0
Mcavernosa31888,0
Mcavernosa31942,0
Mcavernosa32020,0
Mcavernosa32046,0.368156492286567
Mcavernosa32394,0
Mcavernosa32422,0
Mcavernosa18264,0
Mcavernosa18421,0
Mcavernosa18479,0
Mcavernosa18476,0
Mcavernosa18540,0.366783465256703
Mcavernosa18763,0
Mcavernosa06644,0.497541624494413
Mcavernosa06807,0.404953991416523
Mcavernosa06954,0.703206832521501
Mcavernosa07100,0
Mcavernosa19170,0
Mcavernosa19273,0
Mcavernosa19332,0.622884912518761
Mcavernosa19362,0.518848197395236
Mcavernosa20025,0
Mcavernosa21971,0
Mcavernosa22031,0.539318615741364
Mcavernosa22225,0
Mcavernosa22366,0
Mcavernosa22410,0
Mcavernosa22476,0
Mcavernosa22520,0
Mcavernosa22582,0
Mcavernosa22631,0
Mcavernosa22713,0
Mcavernosa15378,0
Mcavernosa15460,0
Mcavernosa15547,0
Mcavernosa15704,0
Mcavernosa15735,0.281390058105364
Mcavernosa15792,0
Mcavernosa15791,0
Mcavernosa15887,0
Mcavernosa16017,0.465721715223376
Mcavernosa16042,0
Mcavernosa10288,0
Mcavernosa10349,0
Mcavernosa10407,0
Mcavernosa10464,0
Mcavernosa10517,0
Mcavernosa10551,0
Mcavernosa10680,0.532605034328784
Mcavernosa10898,0
Mcavernosa11159,0
Mcavernosa11158,0
Mcavernosa11196,0
Mcavernosa11197,0
Mcavernosa09380,0
Mcavernosa09478,0
Mcavernosa09530,0
Mcavernosa09692,0
Mcavernosa10121,0
Mcavernosa10204,0
Mcavernosa20997,0
Mcavernosa21024,0
Mcavernosa21177,0
Mcavernosa21211,0
Mcavernosa21290,0
Mcavernosa21420,0.248589912058537
Mcavernosa21508,0
Mcavernosa21636,0
Mcavernosa21806,0
Mcavernosa26309,0
Mcavernosa26354,0
Mcavernosa26416,0
Mcavernosa26446,0
Mcavernosa26484,0.402244200158242
Mcavernosa26540,0
Mcavernosa26741,0
Mcavernosa26806,0
Mcavernosa27015,0
Mcavernosa27080,0
Mcavernosa20101,0
Mcavernosa20347,0
Mcavernosa20364,0
Mcavernosa20441,0
Mcavernosa20536,0
Mcavernosa20584,0
Mcavernosa20648,0.553415749392162
Mcavernosa20735,0
Mcavernosa20800,0
Mcavernosa20837,0
Mcavernosa20913,0.390639172072973
Mcavernosa20929,0
Mcavernosa17342,0
Mcavernosa17402,0
Mcavernosa17422,0
Mcavernosa17456,0
Mcavernosa17526,0
Mcavernosa17586,0
Mcavernosa17623,0
Mcavernosa17701,0
Mcavernosa17748,0
Mcavernosa17856,0
Mcavernosa17909,0
Mcavernosa18067,0
Mcavernosa18146,0
Mcavernosa18161,0.479444038520619
Mcavernosa22783,0
Mcavernosa22796,0
Mcavernosa22828,0
Mcavernosa22829,0
Mcavernosa23204,0
Mcavernosa23205,0
Mcavernosa23252,0
Mcavernosa23264,0
Mcavernosa23288,0
Mcavernosa23309,0
Mcavernosa23336,0
Mcavernosa23519,0.553498762526224
Mcavernosa23565,0
Mcavernosa00001,0.349934166765278
Mcavernosa00126,0.4906473011668
Mcavernosa00290,0
Mcavernosa00442,0.36308574209742
Mcavernosa00671,0
Mcavernosa00773,0
Mcavernosa29476,0
Mcavernosa29498,0
Mcavernosa29510,0
Mcavernosa29680,0
Mcavernosa29851,0
Mcavernosa29913,0.296286566555755
Mcavernosa29922,0
Mcavernosa29965,0
Mcavernosa29982,0
Mcavernosa30075,0
Mcavernosa30089,0
Mcavernosa30097,0
Mcavernosa25379,0
Mcavernosa25430,0
Mcavernosa25447,0.589189147556656
Mcavernosa25454,0
Mcavernosa25603,0
Mcavernosa25654,0
Mcavernosa25705,0
Mcavernosa25751,0
Mcavernosa25805,0
Mcavernosa25966,0
Mcavernosa26052,0
Mcavernosa26058,0.395068988923419
Mcavernosa26060,0
Mcavernosa26129,0
Mcavernosa26139,0
Mcavernosa26201,0
Mcavernosa23642,0
Mcavernosa23645,0
Mcavernosa23714,0
Mcavernosa23753,0
Mcavernosa23766,0
Mcavernosa23820,0
Mcavernosa23830,0
Mcavernosa23831,0
Mcavernosa23912,0.56387045339211
Mcavernosa23950,0
Mcavernosa23951,0
Mcavernosa23958,0
Mcavernosa23976,0.29607870125992
Mcavernosa24002,0
Mcavernosa24018,0
Mcavernosa24017,0
Mcavernosa24085,0.390233078577459
Mcavernosa24098,0
Mcavernosa24117,0
Mcavernosa24149,0
Mcavernosa24154,0
Mcavernosa24240,0
Mcavernosa24283,0
Mcavernosa27214,0
Mcavernosa27282,0
Mcavernosa27313,0
Mcavernosa27338,0
Mcavernosa27382,0
Mcavernosa27389,0
Mcavernosa27416,0
Mcavernosa27430,0
Mcavernosa27441,0
Mcavernosa27505,0
Mcavernosa27566,0
Mcavernosa27614,0
Mcavernosa27657,0
Mcavernosa27787,0.316383889502255
Mcavernosa30160,0
Mcavernosa30232,0
Mcavernosa30286,0
Mcavernosa30338,0.41330496185541
Mcavernosa30418,0
Mcavernosa30526,0
Mcavernosa30548,0
Mcavernosa30619,0
Mcavernosa30627,0
Mcavernosa30640,0
Mcavernosa30715,0
Mcavernosa34495,0
