gene,kme
Mcavernosa04437,0.231038489758123
Mcavernosa04549,0.45920228556419
Mcavernosa04613,0.229953733857794
Mcavernosa04669,0.228435817675756
Mcavernosa04702,0.170845985589442
Mcavernosa04806,0.275820614643381
Mcavernosa04853,0.471035941017081
Mcavernosa04908,0.440803222028876
Mcavernosa05282,0.575131145566841
Mcavernosa05329,0.284695596751054
Mcavernosa05384,0
Mcavernosa05502,0.464757240770931
Mcavernosa05503,0.139575458699456
Mcavernosa05997,0.358223366289528
Mcavernosa06041,0.35881045586324
Mcavernosa06042,0.35881045586324
Mcavernosa06070,0.447286193323524
Mcavernosa06072,0
Mcavernosa12216,0.31922372058294
Mcavernosa12259,0.144335552113549
Mcavernosa12257,0.273793100536292
Mcavernosa12258,0.273793100536292
Mcavernosa12583,0.332760998129236
Mcavernosa12584,0.34924544790879
Mcavernosa12638,0
Mcavernosa12637,0.466746936968388
Mcavernosa12731,0
Mcavernosa12775,0.0500922217238177
Mcavernosa12876,0
Mcavernosa12925,0.158473167174407
Mcavernosa12973,0.541230766629044
Mcavernosa13018,0.326623569922175
Mcavernosa13449,0.188465534196345
Mcavernosa13706,0.00810212132977305
Mcavernosa27857,0.110308494603983
Mcavernosa28146,0.669682935734209
Mcavernosa28201,0.596598994737297
Mcavernosa28309,0.260920158648173
Mcavernosa28444,0.108321414332669
Mcavernosa28597,0.74221784183382
Mcavernosa28677,0.423809787964619
Mcavernosa28809,0.298059017952513
Mcavernosa08391,0.31731785915869
Mcavernosa08533,0.381784332010846
Mcavernosa08620,0.30584119832185
Mcavernosa08678,0.130410269100303
Mcavernosa08949,0.565701247652806
Mcavernosa14296,0.344426166901897
Mcavernosa14334,0.752633776988392
Mcavernosa14497,0
Mcavernosa14496,0
Mcavernosa14495,0.109897889623525
Mcavernosa14583,0
Mcavernosa14673,0.332201745217114
Mcavernosa14674,0
Mcavernosa14805,0.12484091121102
Mcavernosa15011,0.669536033606992
Mcavernosa15301,0.25243174557407
Mcavernosa11293,0.603970279658358
Mcavernosa11342,0.198946940571697
Mcavernosa11397,0
Mcavernosa11555,0.5330428150479
Mcavernosa11600,0.32879483183827
Mcavernosa11910,0
Mcavernosa11983,0.248808132971316
Mcavernosa12021,0
Mcavernosa12064,0.113809434477874
Mcavernosa12063,0.113809434477874
Mcavernosa12062,0.113809434477874
Mcavernosa31803,0
Mcavernosa31888,0.864723579531703
Mcavernosa31942,0.187842519206954
Mcavernosa32020,0
Mcavernosa32046,0.191140115695115
Mcavernosa32149,0.0254445193195668
Mcavernosa32197,0
Mcavernosa32198,0
Mcavernosa32394,0.369666654086498
Mcavernosa32422,0
Mcavernosa18264,0.019797862696014
Mcavernosa18421,0
Mcavernosa18450,0.308289209247051
Mcavernosa18479,0.502050105705044
Mcavernosa18476,0.502050105705044
Mcavernosa18540,0.281445120035153
Mcavernosa18696,0
Mcavernosa18763,0
Mcavernosa06644,0.66395396830105
Mcavernosa06807,0.425189836513961
Mcavernosa06954,0.449134856786217
Mcavernosa07100,0.280337914506646
Mcavernosa19170,0.504954437502782
Mcavernosa19273,0.538908880329679
Mcavernosa19332,0.338474541324882
Mcavernosa19362,0.30578632340741
Mcavernosa19393,0
Mcavernosa19566,0.235669330520381
Mcavernosa19803,0.166837995258356
Mcavernosa20025,0.453782596641492
Mcavernosa21971,0
Mcavernosa22031,0.489492685000511
Mcavernosa22225,0.160533008537185
Mcavernosa22366,0.158716946990613
Mcavernosa22410,0.394512664748055
Mcavernosa22476,0.827252805972065
Mcavernosa22520,0.135830781385106
Mcavernosa22582,0.0495775483552316
Mcavernosa22631,0.358308280965724
Mcavernosa22713,0.538690594567381
Mcavernosa15378,0
Mcavernosa15460,0.357366116355184
Mcavernosa15547,0.425792208919165
Mcavernosa15546,0.425792208919165
Mcavernosa15582,0
Mcavernosa15704,0
Mcavernosa15735,0
Mcavernosa15792,0.129292001637664
Mcavernosa15791,0.129292001637664
Mcavernosa15887,0
Mcavernosa16017,0.413134559456328
Mcavernosa16042,0
Mcavernosa16255,0
Mcavernosa16298,0.103898792414313
Mcavernosa16345,0
Mcavernosa10288,0.0328996358815623
Mcavernosa10289,0.0328996358815623
Mcavernosa10349,0.253632002315972
Mcavernosa10350,0.253632002315972
Mcavernosa10407,0
Mcavernosa10464,0.615203271582961
Mcavernosa10517,0
Mcavernosa10551,0.263267029911492
Mcavernosa10570,0
Mcavernosa10590,0.0945775159212135
Mcavernosa10680,0.1899598956581
Mcavernosa10898,0
Mcavernosa10923,0.189571502472631
Mcavernosa10959,0.338776571201165
Mcavernosa11072,0.651272141546222
Mcavernosa11130,0
Mcavernosa11159,0
Mcavernosa11158,0
Mcavernosa11196,0.0714809722137629
Mcavernosa11198,0
Mcavernosa11197,0
Mcavernosa09380,0
Mcavernosa09381,0
Mcavernosa09382,0
Mcavernosa09478,0.236064494627953
Mcavernosa09530,0
Mcavernosa09529,0
Mcavernosa09531,0
Mcavernosa09693,0.22894625545383
Mcavernosa09692,0.315709791313891
Mcavernosa09847,0
Mcavernosa10121,0
Mcavernosa10160,0
Mcavernosa10204,0.216590434988043
Mcavernosa10205,0.216590434988043
Mcavernosa20997,0.836423873886455
Mcavernosa21024,0
Mcavernosa21156,0
Mcavernosa21177,0.680083445110262
Mcavernosa21195,0.487607504267927
Mcavernosa21211,0.597515663385213
Mcavernosa21290,0
Mcavernosa21324,0.14056400692778
Mcavernosa21391,0.346278692580626
Mcavernosa21420,0
Mcavernosa21421,0
Mcavernosa21454,0.287018610452804
Mcavernosa21508,0.395156053945218
Mcavernosa21534,0
Mcavernosa21636,0
Mcavernosa21732,0.260400258405192
Mcavernosa21806,0.218970923789362
Mcavernosa26249,0
Mcavernosa26309,0
Mcavernosa26335,0.247008843989231
Mcavernosa26354,0.215051624639694
Mcavernosa26416,0
Mcavernosa26446,0.147025584792604
Mcavernosa26484,0.26429069282235
Mcavernosa26519,0
Mcavernosa26540,0.223001751845905
Mcavernosa26659,0.194475878207615
Mcavernosa26743,0
Mcavernosa26741,0.326515864143816
Mcavernosa26761,0
Mcavernosa26806,0.248268059189462
Mcavernosa26947,0
Mcavernosa26980,0.0384173556994338
Mcavernosa27015,0.342075239464798
Mcavernosa27080,0
Mcavernosa27079,0
Mcavernosa20101,0.187209579987374
Mcavernosa20332,0
Mcavernosa20347,0.327127382810929
Mcavernosa20364,0
Mcavernosa20441,0.0819829062668113
Mcavernosa20447,0
Mcavernosa20536,0.166370532599284
Mcavernosa20537,0.155140227516551
Mcavernosa20584,0.278860580843136
Mcavernosa20648,0.268395568673431
Mcavernosa20735,0.224726753797463
Mcavernosa20750,0
Mcavernosa20800,0
Mcavernosa20837,0.218746856913586
Mcavernosa20874,0
Mcavernosa20903,0
Mcavernosa20913,0.287002395348345
Mcavernosa20929,0.316774674433342
Mcavernosa17342,0
Mcavernosa17359,0
Mcavernosa17402,0.145123251868538
Mcavernosa17422,0
Mcavernosa17456,0.368631737791446
Mcavernosa17472,0
Mcavernosa17526,0.091894807697545
Mcavernosa17586,0
Mcavernosa17623,0.029384431520474
Mcavernosa17668,0
Mcavernosa17690,0
Mcavernosa17701,0.0761941001615206
Mcavernosa17748,0
Mcavernosa17856,0
Mcavernosa17909,0
Mcavernosa18024,0
Mcavernosa18023,0
Mcavernosa18067,0.255386020408205
Mcavernosa18146,0.0208715350177014
Mcavernosa18145,0
