gene,kme
Mcavernosa04437,0.411362946013138
Mcavernosa04702,0.233010413030009
Mcavernosa04806,0.711728217616204
Mcavernosa04853,0.811034442201494
Mcavernosa04908,0
Mcavernosa05282,0.577444064772899
Mcavernosa05384,0.901373386592465
Mcavernosa05502,0.432261724890994
Mcavernosa05503,0.378203054519324
Mcavernosa05997,0.524950301034178
Mcavernosa06041,0
Mcavernosa06042,0.589151153503062
Mcavernosa06070,0
Mcavernosa12216,0.0875662334911987
Mcavernosa12257,0
Mcavernosa12258,0.808479407768479
Mcavernosa12583,0.148081250165233
Mcavernosa12584,0.218438360207827
Mcavernosa12637,0.427931729317846
Mcavernosa12775,0.367538877496589
Mcavernosa12876,0.27740299741785
Mcavernosa12925,0.231385178312509
Mcavernosa12973,0.478157382956505
Mcavernosa13018,0.81508665333291
Mcavernosa13449,0.324002903088232
Mcavernosa27857,0.53534248439001
Mcavernosa28146,0
Mcavernosa28201,0.46708676344744
Mcavernosa28309,0.667453442477913
Mcavernosa28444,0.685671740028287
Mcavernosa28597,0.898202743615748
Mcavernosa28677,0.197857855713236
Mcavernosa08533,0.130669863109921
Mcavernosa08620,0.763089170569165
Mcavernosa08678,0
Mcavernosa08949,0.711672460885794
Mcavernosa14296,0.450306984673506
Mcavernosa14334,0.423765152866099
Mcavernosa14496,0.0341725097299182
Mcavernosa14495,0.882213899789416
Mcavernosa14673,0.237914780859821
Mcavernosa14805,0
Mcavernosa15301,0.337472508034574
Mcavernosa11293,0.656074407685552
Mcavernosa11342,0
Mcavernosa11555,0.333627937794718
Mcavernosa11600,0.518081792194066
Mcavernosa11910,0.411756071016788
Mcavernosa12063,0.661906144965776
Mcavernosa31888,0
Mcavernosa31942,0.5242323710204
Mcavernosa32020,0.168724463966651
Mcavernosa32046,0.28033484911441
Mcavernosa32394,0.483053077167246
Mcavernosa32422,0.417752242236908
Mcavernosa18264,0.735448078496583
Mcavernosa18421,0.353800864288452
Mcavernosa18479,0.309769481744246
Mcavernosa18476,0.62252270305635
Mcavernosa18540,0.174929906518072
Mcavernosa18763,0.411315595293272
Mcavernosa06644,0.669577021179165
Mcavernosa06807,0.589566480317458
Mcavernosa06954,0.629765236856826
Mcavernosa07100,0.806587078721902
Mcavernosa19170,0.649416210590327
Mcavernosa19273,0.592436084368505
Mcavernosa19332,0.766456452219029
Mcavernosa19362,0.430641662493807
Mcavernosa20025,0.349080450137906
Mcavernosa21971,0.242991278957819
Mcavernosa22031,0.560264041251023
Mcavernosa22225,0
Mcavernosa22366,0.742381812752342
Mcavernosa22410,0.834719676945579
Mcavernosa22476,0.134843755427354
Mcavernosa22520,0.415410418631948
Mcavernosa22582,0.463864113191307
Mcavernosa22631,0.27753392664805
Mcavernosa22713,0.181130945834584
Mcavernosa15378,0.326222553477991
Mcavernosa15460,0
Mcavernosa15547,0.324394774320078
Mcavernosa15704,0.316371126099772
Mcavernosa15735,0
Mcavernosa15792,0.562300348002072
Mcavernosa15791,0.562300348002072
Mcavernosa15887,0.708220823011155
Mcavernosa16017,0.117513411625794
Mcavernosa16042,0.400624979155689
Mcavernosa10288,0.281660057800702
Mcavernosa10349,0
Mcavernosa10407,0.310042852524856
Mcavernosa10464,0.0965290292658655
Mcavernosa10517,0.712936435494461
Mcavernosa10551,0
Mcavernosa10680,0.509135021709022
Mcavernosa10898,0.548985471342706
Mcavernosa11159,0.533490832879012
Mcavernosa11158,0.439430648413805
Mcavernosa11196,0
Mcavernosa11197,0.221986230014873
Mcavernosa09380,0.642073204317012
Mcavernosa09478,0.363953006136609
Mcavernosa09530,0.111968022587797
Mcavernosa09692,0.101489121035756
Mcavernosa10121,0.182329653355385
Mcavernosa10204,0.80185454936913
Mcavernosa20997,0.298657270120599
Mcavernosa21024,0.471614942144123
Mcavernosa21177,0.149254722391262
Mcavernosa21211,0.79613532143834
Mcavernosa21290,0.263325589773132
Mcavernosa21420,0
Mcavernosa21508,0.278365377334338
Mcavernosa21636,0.607357535044661
Mcavernosa21806,0.313552304457575
Mcavernosa26309,0.220005950523859
Mcavernosa26354,0.420685285529727
Mcavernosa26416,0.382677837320129
Mcavernosa26446,0
Mcavernosa26484,0
Mcavernosa26540,0
Mcavernosa26741,0
Mcavernosa26806,0.551146971938791
Mcavernosa27015,0
Mcavernosa27080,0.186090886943961
Mcavernosa20101,0
Mcavernosa20347,0
Mcavernosa20364,0.407592440351583
Mcavernosa20441,0.307843838976341
Mcavernosa20536,0.509245032533072
Mcavernosa20584,0.412069512481032
Mcavernosa20648,0.572710004466692
Mcavernosa20735,0
Mcavernosa20800,0.18104496556418
Mcavernosa20837,0.371438607523085
Mcavernosa20913,0.284069115956667
Mcavernosa20929,0.0961329855848945
Mcavernosa17342,0.222568095354962
Mcavernosa17402,0
Mcavernosa17422,0.251585702740342
Mcavernosa17456,0.720157836451786
Mcavernosa17526,0
Mcavernosa17586,0.175993112392966
Mcavernosa17623,0.59315346339324
Mcavernosa17701,0
Mcavernosa17748,0.226182006417871
Mcavernosa17856,0.223392166804423
Mcavernosa17909,0.168098886642025
Mcavernosa18067,0.121644361072261
Mcavernosa18146,0
Mcavernosa18161,0.606133092091267
Mcavernosa22783,0.318707707325627
Mcavernosa22796,0.0688454986500813
Mcavernosa22828,0
Mcavernosa22829,0
Mcavernosa23204,0.348502073980461
Mcavernosa23205,0.256698410844688
Mcavernosa23252,0
Mcavernosa23264,0.86889681073725
Mcavernosa23288,0.389355930612469
Mcavernosa23309,0
Mcavernosa23336,0.131816624658527
Mcavernosa23519,0
Mcavernosa23565,0.450005244492586
Mcavernosa00001,0.691430309742758
Mcavernosa00126,0.454047623967687
Mcavernosa00290,0.61465305541068
Mcavernosa00442,0.53512090068757
Mcavernosa00671,0
Mcavernosa00773,0.332815769595766
Mcavernosa29476,0
Mcavernosa29498,0.151507920426796
Mcavernosa29510,0
Mcavernosa29680,0.416349615976907
Mcavernosa29851,0.642059248429685
Mcavernosa29913,0
Mcavernosa29922,0
Mcavernosa29965,0.0791604462897045
Mcavernosa29982,0
Mcavernosa30075,0.199088225495352
Mcavernosa30089,0
Mcavernosa30097,0.432088313374746
Mcavernosa25379,0
Mcavernosa25430,0.0814468782435814
Mcavernosa25447,0.171181630823669
Mcavernosa25454,0.257890264689574
Mcavernosa25603,0.674219642794256
Mcavernosa25654,0
Mcavernosa25705,0.284394814929882
Mcavernosa25751,0
Mcavernosa25805,0.0604778972597576
Mcavernosa25966,0.228612952787
Mcavernosa26052,0.791466690257838
Mcavernosa26058,0.48285498743943
Mcavernosa26060,0.197497312453586
Mcavernosa26129,0
Mcavernosa26139,0
Mcavernosa26201,0.232463743015525
Mcavernosa23642,0.153286954167994
Mcavernosa23645,0.133974239069763
Mcavernosa23714,0.10353222304579
Mcavernosa23753,0
Mcavernosa23766,0.205135002644046
Mcavernosa23820,0
Mcavernosa23830,0.283291012577677
Mcavernosa23831,0.36740935120724
Mcavernosa23912,0.124078969909311
Mcavernosa23950,0.0971799209147004
Mcavernosa23951,0.111841242738518
Mcavernosa23958,0.192898395206989
Mcavernosa23976,0.294771354982401
Mcavernosa24002,0.18092284348219
Mcavernosa24018,0.149570426977078
Mcavernosa24017,0.096354255008045
Mcavernosa24085,0
Mcavernosa24098,0.21713993584892
Mcavernosa24117,0.703885338585415
Mcavernosa24149,0.0673815386356863
Mcavernosa24154,0.613559654621135
Mcavernosa24240,0
Mcavernosa24283,0.0792104848218347
Mcavernosa27214,0.381190494449847
Mcavernosa27282,0.776785358754792
Mcavernosa27313,0
Mcavernosa27338,0.0770211693653509
Mcavernosa27382,0.501407143141445
Mcavernosa27389,0.157510540695688
Mcavernosa27416,0
Mcavernosa27430,0.712685842271009
Mcavernosa27441,0.0999674504341499
Mcavernosa27505,0
