gene,moduleLPV
Mcavernosa04587,0
Mcavernosa04591,0
Mcavernosa04589,0
Mcavernosa04590,0
Mcavernosa04580,0
Mcavernosa04605,0
Mcavernosa04597,0
Mcavernosa04608,0
Mcavernosa04604,0
Mcavernosa04593,0
Mcavernosa04595,0
Mcavernosa04602,0
Mcavernosa04592,0
Mcavernosa04585,0
Mcavernosa04586,0
Mcavernosa04594,0
Mcavernosa04588,0
Mcavernosa04601,0
Mcavernosa04596,0
Mcavernosa04612,0
Mcavernosa04610,0
Mcavernosa04614,0
Mcavernosa04607,0
Mcavernosa04609,0
Mcavernosa04615,0
Mcavernosa04606,0
Mcavernosa04613,0
Mcavernosa04621,0
Mcavernosa04620,0
Mcavernosa04618,0
Mcavernosa04619,0
Mcavernosa04617,0
Mcavernosa04625,0
Mcavernosa04623,0
Mcavernosa04633,0
Mcavernosa04634,0
Mcavernosa04635,0
Mcavernosa04631,0
Mcavernosa04629,0
Mcavernosa04632,0
Mcavernosa04626,0
Mcavernosa04644,0
Mcavernosa04639,0
Mcavernosa04649,0
Mcavernosa04636,0
Mcavernosa04645,0
Mcavernosa04643,0
Mcavernosa04642,0
Mcavernosa04646,0
Mcavernosa04647,0
Mcavernosa04648,0
Mcavernosa04655,0
Mcavernosa04652,0
Mcavernosa04651,0
Mcavernosa04654,0
Mcavernosa04653,0
Mcavernosa04650,0
Mcavernosa04656,0
Mcavernosa04657,0
Mcavernosa04658,0
Mcavernosa04661,0
Mcavernosa04662,0
Mcavernosa04659,0
Mcavernosa04660,0
Mcavernosa04663,0
Mcavernosa04667,0
Mcavernosa04665,0
Mcavernosa04664,0
Mcavernosa04669,0
Mcavernosa04672,0
Mcavernosa04671,0
Mcavernosa04675,0
Mcavernosa04673,0
Mcavernosa04674,0
Mcavernosa04686,0
Mcavernosa04683,0
Mcavernosa04691,0
Mcavernosa04693,0
Mcavernosa04687,0
Mcavernosa04690,0
Mcavernosa04688,0
Mcavernosa04692,0
Mcavernosa04701,0
Mcavernosa04695,0
Mcavernosa04698,0
Mcavernosa04697,0
Mcavernosa04700,0
Mcavernosa04696,0
Mcavernosa04694,0
Mcavernosa04715,0
Mcavernosa04710,0
Mcavernosa04704,0
Mcavernosa04711,0
Mcavernosa04712,0
Mcavernosa04708,0
Mcavernosa04703,0
Mcavernosa04707,0
Mcavernosa04709,0
Mcavernosa04702,0
Mcavernosa04706,0
Mcavernosa04718,0
Mcavernosa04716,0
Mcavernosa04719,0
Mcavernosa04724,0
Mcavernosa04725,0
Mcavernosa04735,0
Mcavernosa04736,0
Mcavernosa04721,0
Mcavernosa04728,0
Mcavernosa04726,0
Mcavernosa04733,0
Mcavernosa04729,0
Mcavernosa04730,0
Mcavernosa04731,0
Mcavernosa04738,0
Mcavernosa04743,0
Mcavernosa04741,0
Mcavernosa04737,0
Mcavernosa04740,0
Mcavernosa04745,0
Mcavernosa04742,0
Mcavernosa04747,0
Mcavernosa04744,0
Mcavernosa04746,0
Mcavernosa04770,0
Mcavernosa04748,0
Mcavernosa04756,0
Mcavernosa04769,0
Mcavernosa04772,0
Mcavernosa04749,0
Mcavernosa04768,0
Mcavernosa04750,0
Mcavernosa04755,0
Mcavernosa04762,0
Mcavernosa04757,0
Mcavernosa04759,0
Mcavernosa04758,0
Mcavernosa04771,0
Mcavernosa04773,0
Mcavernosa04778,0
Mcavernosa04780,0
Mcavernosa04774,0
Mcavernosa04781,0
