Parameter	Value	Uncertainty
nu1_1	3.187e+00	3.205e+00
nu2_1	4.104e+00	1.981e+01
nu1_2	1.545e+01	2.818e+01
nu2_2	2.219e+00	2.680e+00
T0	4.810e+00	1.684e+01
T	2.587e-01	3.507e-01
m	1.375e-02	2.016e-02
mi	3.053e-01	3.215e-01
m12_2	5.396e-02	1.077e-01
m21_2	1.055e-01	4.203e-01
m12_2i	1.713e+00	1.895e+00
m21_2i	2.696e-01	9.916e+00
P	5.616e-01	9.535e-01
