Parameter	Value	Uncertainty
nu1_1	1.356e+01	5.815e+00
nu2_1	5.907e+01	6.615e+01
nu1_2	2.073e+01	6.961e+01
nu2_2	1.877e+01	1.023e+01
nu1_3	6.824e+01	5.463e+01
nu2_3	2.042e+01	1.838e+01
T1	2.575e+01	2.249e+01
T2	5.919e+00	1.611e+00
T3	3.275e+00	2.132e+00
m1	5.127e-05	1.113e-01
m1i	5.374e-03	3.971e-02
m12_3	6.934e+00	4.192e+01
m21_3	2.444e+00	5.971e+00
m12_3i	1.672e-02	4.001e-02
m21_3i	5.257e-02	9.779e-02
P	5.794e-01	2.820e-01
p_misid	1.522e-05	3.395e-04
