Parameter	Value	Uncertainty
nu1_1	1.322e-03	1.079e-02
nu2_1	7.597e-03	4.927e-03
nu1_2	2.130e-01	2.894e+00
nu2_2	2.053e-01	1.619e+00
T0	2.483e-02	2.800e-02
T	8.932e-03	2.462e-02
m12_2	1.991e+02	6.568e+02
m21_2	1.059e-01	1.318e+01
m12_2i	2.124e+00	1.578e+00
m21_2i	1.402e+02	2.038e+02
P	7.052e-01	4.762e-02
