bams kmeans admix
SSDA10 2 4
SSDA11 3 1
SSDA12 2 4
SSDA13 3 1
SSDA14 3 2
SSDA15 2 4
SSDA16 2 4
SSDA17 2 4
SSDA18 2 4
SSDA19 2 4
SSDA1 2 4
SSDA20c-3 2 4
SSDA2 3 1
SSDA3 2 4
SSDA4 2 4
SSDA5 2 4
SSDA6 3 1
SSDA7 2 4
SSDA8 2 4
SSDA9 3 1
SSDJ10 3 2
SSDJ11 3 2
SSDJ12 3 2
SSDJ13 3 2
SSDJ14 2 4
SSDJ15 3 1
SSDJ17 3 2
SSDJ18 3 2
SSDJ19c-1 3 1
SSDJ1 3 1
SSDJ20c-2 2 4
SSDJ2 3 2
SSDJ3 2 4
SSDJ4 3 2
SSDJ5 2 4
SSDJ6 3 1
SSDJ7 3 2
SSDJ8 2 4
SSDJ9 2 4
SSNA10 3 2
SSNA11 1 3
SSNA12 3 2
SSNA13 3 2
SSNA14 3 2
SSNA15 3 2
SSNA16 3 2
SSNA17 3 2
SSNA18 1 3
SSNA19 3 2
SSNA20 3 2
SSNA2 1 3
SSNA3 1 3
SSNA4 3 2
SSNA5 3 2
SSNA6 3 2
SSNA7 3 2
SSNA8 3 2
SSNA9 3 2
SSNJ10 4 3.4
SSNJ11 3 2
SSNJ12 3 2
SSNJ13 3 2
SSNJ14 3 2
SSNJ15 3 2
SSNJ16 3 2
SSNJ17 3 2
SSNJ18 3 2
SSNJ1 3 2
SSNJ2 3 2
SSNJ3 3 2
SSNJ4 3 2
SSNJ5 3 2
SSNJ6 3 2
SSNJ7 3 2
SSNJ8 3 2
SSNJ9 4 2.3
SSOA10 3 2
SSOA11 1 3
SSOA12 3 2
SSOA13 3 2
SSOA14 3 2
SSOA15 3 2
SSOA16 3 2
SSOA17 3 2
SSOA18 3 2
SSOA19 3 2
SSOA1 1 3
SSOA20 3 2
SSOA2 1 3
SSOA3 3 2
SSOA5 3 2
SSOA6 3 2
SSOA7 3 2
SSOA9 3 2
SSOJ10 3 2
SSOJ11 3 2
SSOJ12 3 2
SSOJ14 3 2
SSOJ15 3 2
SSOJ16 3 2
SSOJ17 3 2
SSOJ19 3 2
SSOJ1 3 2
SSOJ20c-1 3 2
SSOJ2 3 2
SSOJ3 3 2
SSOJ4 3 2
SSOJ5 3 2
SSOJ6 3 2
SSOJ7 3 2
SSOJ8 3 2
SSOJ9 3 2
