Parameter	Value	Uncertainty
nu1_1	6.097e+00	1.130e+00
nu2_1	3.585e+00	7.327e-01
nu1_2	2.099e+01	4.401e+00
nu2_2	5.901e+00	1.282e+00
T0	5.657e+00	1.421e+00
T	8.901e-01	2.152e-01
m	3.527e-01	2.136e-01
mi	2.188e-01	6.753e-02
m12_2	3.196e-01	1.001e-01
m21_2	7.343e-01	2.782e-01
m12_2i	1.560e-02	1.168e-02
m21_2i	8.594e-03	5.722e-02
P	3.087e-01	6.124e-02
p_misid	6.797e-04	4.312e-04
