Parameter	Value	Uncertainty
nu0	1.239e+01	2.023e+01
nu1_2	8.860e+00	1.980e+01
nu2_2	5.125e+00	1.119e+01
nu1_3	2.791e+01	5.660e+01
nu2_3	9.049e+00	1.791e+01
T1	6.250e+00	1.497e+01
T2	1.878e+00	4.160e+00
T3	9.934e-01	1.703e+00
m	3.370e-01	6.758e-01
mi	2.523e-02	5.596e-02
P	2.892e-01	3.630e-02
p_misid	7.583e-04	1.268e-03
