Parameter	Value	Uncertainty
nu1_1	3.719e+00	5.953e-01
nu2_1	1.709e+00	3.616e-01
nu1_2	4.813e+00	5.003e-01
nu2_2	3.201e+00	3.382e-01
nu1_3	1.642e+01	1.673e+00
nu2_3	1.355e+01	1.564e+00
T1	2.035e+00	2.780e-01
T2	1.862e+00	3.265e-01
T3	4.086e-01	5.311e-02
m1	7.788e-01	9.780e-02
m1i	3.813e-02	5.402e-03
m12_3	3.355e-01	8.477e-02
m21_3	5.546e-01	8.249e-02
m12_3i	9.689e-02	1.452e-02
m21_3i	2.334e-01	3.035e-02
P	5.396e-01	2.198e-02
p_misid	1.220e-04	3.669e-04
