Parameter	Value	Uncertainty
nu1_1	2.424e+00	2.238e+00
nu2_1	1.911e+00	3.847e+00
nu1_2	1.285e+01	6.391e+01
nu2_2	1.485e+00	2.568e+00
nu1_3	1.028e+01	1.874e+01
nu2_3	3.345e+00	6.861e+00
T1	1.464e+00	4.949e+00
T2	7.147e-02	1.260e-01
T3	1.757e-01	6.695e-01
m1	1.025e+00	2.035e+00
m1i	1.272e-02	7.793e-02
m12_3	2.513e+00	2.047e+00
m21_3	3.201e+00	1.876e+00
m12_3i	3.252e-01	1.636e-01
m21_3i	7.308e-01	5.431e-01
P	2.489e-01	7.831e-02
