Parameter	Value	Uncertainty
nu0	0.334	1.261e+01
nu1_2	2.849	5.832e+00
nu2_2	1.42	4.082e-01
nu1_3	10.587	1.966e+01
nu2_3	3.186	7.881e+00
T1	0.038	8.953e-01
T2	1.621	9.653e+00
T3	0.24	7.926e-01
m	0.05	2.915e-01
mi	0.995	1.181e+00
m12_3	0.178	2.613e-01
m21_3	0.992	1.324e+00
m12_3i	1.307	9.800e+00
m21_3i	2.702	8.669e-01
P	0.717	3.452e-01
