Parameter	Value	Uncertainty
nu1_1	0.268	6.364e+01
nu2_1	0.425	6.194e+00
nu1_2	1.348	7.181e+01
nu2_2	1.624	6.255e+01
nu1_3	6.794	2.680e+02
nu2_3	1.858	6.504e+01
T1	1.009	7.551e+01
T2	0.936	7.216e+01
T3	0.163	3.788e+00
m1	1.504	4.229e+01
m1i	0.022	1.848e-01
m12_3	4.323	2.112e+02
m21_3	0.299	1.939e-01
m12_3i	0.45	1.729e+01
m21_3i	1.362	1.297e+02
P	0.19	3.623e+00
