Parameter	Value	Uncertainty
nu1_1	2.425e-02	9.122e-02
nu2_1	5.407e+00	6.567e+00
nu1_2	5.177e+00	1.149e+00
nu2_2	4.607e+00	1.002e+00
nu1_3	8.147e+00	1.988e+00
nu2_3	2.026e+01	4.675e+00
T1	9.540e-02	2.257e-01
T2	6.651e+00	1.646e+00
T3	8.289e-01	1.902e-01
m1	1.110e-01	2.479e-02
m1i	4.983e-01	1.523e-01
m12_3	8.219e-03	1.401e-02
m21_3	1.996e-02	9.012e-03
m12_3i	3.704e-01	1.898e-01
m21_3i	3.738e-01	1.463e-01
P	3.907e-01	4.759e-02
p_misid	1.396e-03	4.625e-04
