Parameter	Value	Uncertainty
nu1_1	4.811e+00	7.278e-01
nu2_1	4.011e+00	6.192e-01
nu1_2	6.985e+00	1.275e+00
nu2_2	1.854e+01	2.771e+00
T0	5.636e+00	1.086e+00
T	7.159e-01	1.420e-01
m	3.440e-01	8.203e-02
mi	1.208e-02	4.634e-03
m12_2	5.514e-01	1.169e-01
m21_2	5.343e-01	1.313e-01
m12_2i	9.019e-02	1.795e-02
m21_2i	1.360e-01	2.238e-02
P	5.550e-01	4.299e-02
p_misid	9.480e-04	6.026e-04
