# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Oct 31 14:59:08 CDT 2019 [seed=1572551891175]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
41000	-233979.75267930713	-210.43045127734754	-233769.32222802978	0.09290719634254917	6.152928538131629	2.6926220381225736	3.749406838221603	0.22184454850661403	0.2561136070676402	0.2838586827991465	0.23818316162659928	1.0	1.0	-233769.32222802978	0.0	-208.7349195411699
42000	-233811.5152872614	-210.54173602733607	-233600.97355123406	0.0937785974516608	6.161384907466535	2.5758261928994566	3.749406838221603	0.22281568482083777	0.25818544683363875	0.28178684303314794	0.23721202531237554	1.0	1.0	-233600.97355123406	0.0	-208.8905494111224
43000	-233726.94310965316	-211.03798744978857	-233515.90512220337	0.09429167661889976	6.1654137673724705	2.940035084342353	3.749406838221603	0.22471880562286986	0.25628232603160667	0.27962340125876156	0.23937546708676188	1.0	1.0	-233515.90512220337	0.0	-209.254549653111
44000	-233682.99302603162	-211.92025713741685	-233471.0727688942	0.09417977787040281	6.175807191310738	2.371717463810919	3.749406838221603	0.2257597478487238	0.25628232603160667	0.2785824590329076	0.23937546708676188	1.0	1.0	-233471.0727688942	0.0	-210.35162649449205
45000	-233646.37525789923	-210.333244929225	-233436.04201297	0.0941501195829301	6.139687427880421	2.70979011325502	3.76120202394634	0.2257597478487238	0.25628232603160667	0.2785721730061917	0.2393857531134778	1.0	1.0	-233436.04201297	0.0	-208.6275668882312
46000	-233614.09197449833	-209.49883891492203	-233404.59313558342	0.09371620230623696	6.082492959868075	2.7586613250188003	3.8306307254909697	0.2257597478487238	0.25628232603160667	0.28168853438695546	0.23626939173271402	1.0	1.0	-233404.59313558342	0.0	-207.7530871453592
47000	-233572.1211781212	-210.48033540590936	-233361.64084271528	0.09345292976612939	6.095894971942318	2.445280452088993	3.8306307254909697	0.22082133385973168	0.25628232603160667	0.2837434721477053	0.2391528679609563	1.0	1.0	-233361.64084271528	0.0	-208.85516935056506
48000	-233554.95163642126	-211.19895155196028	-233343.7526848693	0.09395432593386865	6.144228580840361	2.901880443735121	3.7548388822052843	0.22158833256271965	0.2555153273286187	0.2837434721477053	0.2391528679609563	1.0	1.0	-233343.7526848693	0.0	-209.42682994329874
49000	-233518.6358816109	-213.19818998955947	-233305.43769162137	0.09412468321984364	6.154048713638223	2.3009695346371974	3.7548388822052843	0.22158833256271965	0.2608474759144579	0.277839789281981	0.23972440224084143	1.0	1.0	-233305.43769162137	0.0	-211.65809676571317
50000	-233499.52972067127	-213.0761547603469	-233286.45356591092	0.09322130312877086	6.146695043755286	3.2939723396453067	3.8414563684714675	0.22025179573106898	0.2533606154069373	0.2853266497895016	0.2410609390724921	1.0	1.0	-233286.45356591092	0.0	-211.14961009736416
51000	-233407.2896832581	-211.25268277162291	-233196.03700048648	0.09335216117743189	6.127032843824234	2.5604032671494523	3.7808761154751127	0.2207526627516441	0.25285974838636216	0.2834820788047335	0.24290551005726024	1.0	1.0	-233196.03700048648	0.0	-209.59740096771765
52000	-233253.55630314467	-215.59524704037574	-233037.96105610428	0.0921516324693234	6.133212906310533	3.682787731586153	3.782209709710561	0.2237684901813127	0.2536382594781895	0.2810501131891338	0.24154313715136394	1.0	1.0	-233037.96105610428	0.0	-213.57603283752618
53000	-233237.63169380382	-213.33400860779517	-233024.297685196	0.09331453382459722	6.168867572288479	2.37232426934784	3.767344453226961	0.22303904471097735	0.25436770494852484	0.2810501131891338	0.24154313715136394	1.0	1.0	-233024.297685196	0.0	-211.7593598127501
54000	-233220.15006198274	-211.00239666427697	-233009.14766531845	0.09324803641822448	6.093556529372943	2.607147273286832	3.810571647756718	0.22303904471097735	0.25466171992699194	0.27879626914906147	0.2435029662129692	1.0	1.0	-233009.14766531845	0.0	-209.31952787179807
