# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Oct 25 14:44:56 CDT 2019 [seed=1572032659339]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-502828.6438237002	-97.7821284841091	-502730.8616952161	3.480018568683703	13.470609884186645	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02	0.020000000000000004	-502730.8616952161	0.0	-97.7085279194227
1000	-280035.1171063259	-861.658756007214	-279173.4583503187	21.826041460124504	361.5781813282632	17.379195083826563	3.816208535211808	0.2448118984911711	0.25179326332579605	0.25276691602904866	0.25062792215398416	0.02	0.020000000000000004	-279173.4583503187	0.0	-858.0770715996794
2000	-259806.39421367116	-602.8191060801719	-259203.575107591	12.20167073794923	340.8435567279458	102.07989078222126	3.7954480164000524	0.23173409348661295	0.25241275514793227	0.27064887778188995	0.24520427358356472	0.02	0.02000000000000001	-259203.575107591	0.0	-597.4735695510349
3000	-249739.14779607943	-616.6222888693954	-249122.52550721003	9.711955427883021	331.927391160253	162.94652994375053	3.84335147972522	0.22561221808911883	0.2529069936972493	0.2796971058848793	0.24178368232875247	0.02	0.020000000000000018	-249122.52550721003	0.0	-610.7938138739336
4000	-246349.33412987977	-616.0427871356222	-245733.29134274417	7.184432924983813	321.4878695243878	135.19813137204304	3.84335147972522	0.2259638339682469	0.2524857779108186	0.2801183216713099	0.2414320664496244	0.02	0.020000000000000014	-245733.29134274417	0.0	-610.4009929076956
5000	-242959.20029384643	-621.3484847781012	-242337.85180906832	6.423053784162193	325.7309800275057	149.61634526778906	3.7192166925725534	0.2259638339682469	0.25704322921955514	0.2801183216713099	0.23687461514088787	0.02	0.02000000000000001	-242337.85180906832	0.0	-615.6451218195411
6000	-241041.72906342198	-623.4989051664908	-240418.2301582555	6.079804424353768	328.7776616881195	131.42946419537188	3.7192166925725534	0.22364819942944242	0.25907581670095786	0.2824339562101144	0.23484202765948514	0.02	0.01999999999999998	-240418.2301582555	0.0	-617.9251462135585
7000	-239107.2821041099	-621.6618947871449	-238485.62020932278	5.640122537691225	319.9471183915585	132.94665082669258	3.7238279551551754	0.22364819942944242	0.25907581670095786	0.2824339562101144	0.23484202765948514	0.02	0.02000000000000001	-238485.62020932278	0.0	-616.0751700313641
8000	-238147.32973689787	-624.4971409751395	-237522.83259592272	5.3021011184640185	318.45145137539583	124.70448600226297	3.7238279551551754	0.22640753402997127	0.2549553599133746	0.2779359384618469	0.24070116759480706	0.02	0.02	-237522.83259592272	0.0	-618.9744173191103
9000	-237385.5067099595	-623.9700023546314	-236761.5367076049	5.130104760340734	315.5901124353891	125.81213558427112	3.8129770906146745	0.22640753402997127	0.2540441153976124	0.27955739533738905	0.2399909552350271	0.02	0.019999999999999997	-236761.5367076049	0.0	-618.4098327758389
