# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Oct 31 15:25:31 CDT 2019 [seed=1572551891175]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
300000	-232097.74854106043	-232309.2798763935	-211.5313353330808	1.0	-232309.2798763935
310000	-232092.0962328282	-232303.06821524442	-210.97198241624343	1.0	-232303.06821524442
320000	-232094.0103049742	-232305.5432161001	-211.53291112591222	1.0	-232305.5432161001
330000	-232088.69609298234	-232300.57998331657	-211.88389033422575	1.0	-232300.57998331657
340000	-232092.10501966698	-232302.99696493763	-210.8919452706489	1.0	-232302.99696493763
350000	-232096.8522549376	-232308.86101991634	-212.00876497873844	1.0	-232308.86101991634
360000	-232088.13136344712	-232301.05418821942	-212.9228247723088	1.0	-232301.05418821942
370000	-232107.7777785672	-232319.92410487513	-212.14632630793648	1.0	-232319.92410487513
380000	-232088.39888080803	-232299.0105289062	-210.6116480981704	1.0	-232299.0105289062
390000	-232095.63638669893	-232307.55994286615	-211.92355616723574	1.0	-232307.55994286615
400000	-232090.7236303594	-232302.9342789896	-212.2106486301878	1.0	-232302.9342789896
410000	-232093.38541718674	-232305.5759745508	-212.1905573640428	1.0	-232305.5759745508
420000	-232094.46471522102	-232308.46310416018	-213.99838893914753	1.0	-232308.46310416018
430000	-232104.00045192536	-232316.70868977488	-212.7082378495149	1.0	-232316.70868977488
440000	-232101.42213653517	-232313.3998005802	-211.97766404502136	1.0	-232313.3998005802
450000	-232096.3036397523	-232307.2585112465	-210.95487149421535	1.0	-232307.2585112465
460000	-232088.1261081433	-232298.85688047117	-210.7307723278756	1.0	-232298.85688047117
470000	-232096.61654764408	-232309.014209341	-212.39766169691651	1.0	-232309.014209341
480000	-232090.5625534876	-232302.38694730398	-211.8243938163786	1.0	-232302.38694730398
490000	-232100.70286127258	-232311.96075576427	-211.2578944917029	1.0	-232311.96075576427
500000	-232098.04000397428	-232308.61203726692	-210.57203329265428	1.0	-232308.61203726692
510000	-232098.6914765121	-232310.72792116133	-212.03644464924068	1.0	-232310.72792116133
520000	-232094.15655886717	-232304.95918323426	-210.80262436708782	1.0	-232304.95918323426
530000	-232100.06091755364	-232312.5929016543	-212.53198410067708	1.0	-232312.5929016543
540000	-232092.03303301983	-232303.61646662315	-211.5834336033041	1.0	-232303.61646662315
550000	-232090.53688226722	-232302.04760145562	-211.51071918840785	1.0	-232302.04760145562
560000	-232099.0172234848	-232311.6507546383	-212.63353115348022	1.0	-232311.6507546383
570000	-232088.84473441765	-232299.5234702734	-210.67873585572505	1.0	-232299.5234702734
580000	-232094.4140226941	-232306.0298825861	-211.6158598920005	1.0	-232306.0298825861
590000	-232110.23735091186	-232322.0775939913	-211.84024307942477	1.0	-232322.0775939913
600000	-232101.09404067002	-232311.23316625142	-210.1391255814051	1.0	-232311.23316625142
610000	-232086.4060368708	-232298.5084836741	-212.10244680329225	1.0	-232298.5084836741
620000	-232103.74044120728	-232315.0825753947	-211.34213418744636	1.0	-232315.0825753947
630000	-232102.99189952746	-232313.9430483415	-210.95114881403288	1.0	-232313.9430483415
640000	-232089.34401843848	-232300.71810248776	-211.3740840492937	1.0	-232300.71810248776
650000	-232094.317389759	-232306.7482240741	-212.4308343151055	1.0	-232306.7482240741
660000	-232090.56269363116	-232302.73560784105	-212.17291420988178	1.0	-232302.73560784105
670000	-232102.29878365423	-232313.71986277032	-211.4210791160785	1.0	-232313.71986277032
680000	-232102.67304814878	-232315.48114003963	-212.80809189085653	1.0	-232315.48114003963
690000	-232089.6121530077	-232302.13628489754	-212.52413188983004	1.0	-232302.13628489754
700000	-232114.98232330833	-232327.36344690804	-212.38112359969978	1.0	-232327.36344690804
710000	-232090.2554282785	-232301.9252987785	-211.66987049997996	1.0	-232301.9252987785
720000	-232107.89996517642	-232320.9214252736	-213.02146009718177	1.0	-232320.9214252736
730000	-232095.69141533528	-232307.5499414214	-211.85852608612166	1.0	-232307.5499414214
740000	-232116.50496881138	-232327.3750311171	-210.8700623056967	1.0	-232327.3750311171
750000	-232090.35544912587	-232301.71853067708	-211.36308155120295	1.0	-232301.71853067708
760000	-232104.83095519146	-232324.61821948888	-219.78726429742383	1.0	-232324.61821948888
770000	-232109.31943450245	-232320.02902747705	-210.7095929746099	1.0	-232320.02902747705
780000	-232082.4866418656	-232294.28172327502	-211.79508140941337	1.0	-232294.28172327502
790000	-232096.98413146308	-232308.38453266985	-211.40040120676733	1.0	-232308.38453266985
800000	-232119.5344679423	-232331.17775701653	-211.64328907420597	1.0	-232331.17775701653
810000	-232101.02432503205	-232312.10086130913	-211.07653627706182	1.0	-232312.10086130913
820000	-232087.05123295085	-232298.28441415678	-211.23318120591293	1.0	-232298.28441415678
830000	-232083.47657203564	-232294.80238841946	-211.32581638382675	1.0	-232294.80238841946
840000	-232086.61838220435	-232298.23860668665	-211.62022448230593	1.0	-232298.23860668665
850000	-232095.84384006663	-232307.26622798998	-211.4223879233482	1.0	-232307.26622798998
860000	-232099.02466751833	-232309.62745876116	-210.60279124283505	1.0	-232309.62745876116
870000	-232097.2518859263	-232308.950826957	-211.69894103070595	1.0	-232308.950826957
880000	-232098.09337101522	-232308.91020452665	-210.8168335114353	1.0	-232308.91020452665
890000	-232091.698429923	-232303.25939515725	-211.56096523424378	1.0	-232303.25939515725
900000	-232096.40021599748	-232308.9257643512	-212.52554835374124	1.0	-232308.9257643512
910000	-232098.4584131351	-232311.2170389609	-212.75862582581706	1.0	-232311.2170389609
920000	-232089.258617877	-232301.20000926667	-211.9413913896776	1.0	-232301.20000926667
930000	-232096.8743815859	-232308.50128837192	-211.62690678602257	1.0	-232308.50128837192
940000	-232089.76511089318	-232300.34137428028	-210.576263387113	1.0	-232300.34137428028
950000	-232102.5910972838	-232313.95015483632	-211.35905755253748	1.0	-232313.95015483632
960000	-232101.86218941273	-232313.2626690274	-211.40047961468358	1.0	-232313.2626690274
970000	-232109.1861617548	-232320.99806764285	-211.81190588805705	1.0	-232320.99806764285
980000	-232096.16641588134	-232308.55611652572	-212.38970064437748	1.0	-232308.55611652572
990000	-232097.6821469349	-232309.14984275145	-211.4676958165319	1.0	-232309.14984275145
1000000	-232092.38990924688	-232304.51738884588	-212.12747959899528	1.0	-232304.51738884588
1010000	-232090.89811834577	-232302.69996608226	-211.80184773648486	1.0	-232302.69996608226
1020000	-232102.14929288893	-232315.33539486254	-213.18610197361863	1.0	-232315.33539486254
1030000	-232100.17967102438	-232312.1273125349	-211.94764151050597	1.0	-232312.1273125349
1040000	-232088.3390885465	-232299.10509421656	-210.76600567006125	1.0	-232299.10509421656
1050000	-232090.32812060718	-232301.02391505922	-210.69579445205383	1.0	-232301.02391505922
1060000	-232097.89428265108	-232309.46614000617	-211.57185735510947	1.0	-232309.46614000617
1070000	-232096.25084466918	-232309.28999081373	-213.03914614455425	1.0	-232309.28999081373
1080000	-232102.77177924296	-232315.13581509644	-212.36403585346974	1.0	-232315.13581509644
1090000	-232089.58533804584	-232300.8689188316	-211.28358078574942	1.0	-232300.8689188316
1100000	-232104.74577002553	-232317.85894793388	-213.11317790835463	0.9670538286027488	-224670.8962116792
1110000	-232098.971276563	-232310.5473196902	-211.5760431271886	0.9670538286027488	-224663.7748308869
1120000	-232106.69536605792	-232318.4697468216	-211.7743807636844	0.9670538286027488	-224671.44277884188
1130000	-232106.23108468193	-232319.0919446781	-212.86085999616375	0.9670538286027488	-224672.08027299217
1140000	-232109.10231931106	-232320.49727476377	-211.39495545271814	0.9670538286027488	-224673.3910068896
1150000	-232099.44093919406	-232311.90568499465	-212.46474580058597	0.9670538286027488	-224665.1177226058
1160000	-232102.28163729396	-232313.05200787258	-210.77037057862208	0.9670538286027488	-224666.1704553572
1170000	-232101.76287486337	-232312.81211862635	-211.0492437629847	0.9670538286027488	-224665.94765734696
1180000	-232099.70302617428	-232310.94282036967	-211.23979419540842	0.9670538286027488	-224664.14622321824
1190000	-232116.5660936893	-232328.14860209648	-211.58250840717574	0.9670538286027488	-224680.79643143242
1200000	-232101.156285613	-232312.58773876043	-211.43145314744314	0.9670538286027488	-224665.74326227442
1210000	-232099.05762464675	-232310.27064030155	-211.21301565479052	0.9670538286027488	-224663.49530665943
1220000	-232101.10644315757	-232312.5219538059	-211.41551064834653	0.9670538286027488	-224665.67911943796
1230000	-232101.75673360674	-232312.45272700363	-210.69599339687778	0.9670538286027488	-224665.58846805512
1240000	-232113.79208934747	-232324.11762028176	-210.32553093430397	0.9670538286027488	-224676.8568424402
1250000	-232103.27391870745	-232314.2381394632	-210.96422075575617	0.9670538286027488	-224667.32389507434
1260000	-232096.90410361777	-232307.7258280368	-210.8217244190551	0.9670538286027488	-224661.02144466765
1270000	-232093.53420363925	-232305.0121159019	-211.477912262637	0.9670538286027488	-224658.418757835
1280000	-232113.20610210573	-232324.60193391336	-211.39583180762187	0.9670538286027488	-224677.3604621079
1290000	-232110.61290102085	-232324.2386396386	-213.62573861776508	0.9670538286027488	-224677.08260388055
1300000	-232114.1934984817	-232325.93507239665	-211.74157391494157	0.9670538286027488	-224678.66106966094
1310000	-232106.60879509448	-232318.12966014657	-211.52086505208797	0.9670538286027488	-224671.10554434865
1320000	-232102.19075576478	-232314.68738009522	-212.49662433042542	0.9670538286027488	-224667.8088217783
1330000	-232095.8807589842	-232307.2953695478	-211.4146105635924	0.9670538286027488	-224660.62470146632
1340000	-232107.56611056396	-232318.8952984894	-211.32918792544768	0.9670538286027488	-224671.83964281194
1350000	-232100.9355407419	-232315.34313120192	-214.40759046004	0.9670538286027488	-224668.50592741428
1360000	-232082.07906253322	-232294.5370142356	-212.45795170238492	0.9670538286027488	-224648.32105921098
1370000	-232095.0692070686	-232306.7780267185	-211.70881964989664	0.9670538286027488	-224660.13409616554
1380000	-232101.8387731618	-232313.2510610125	-211.4122878506766	0.9670538286027488	-224666.38409917476
1390000	-232104.12114688003	-232315.532116429	-211.41096954897145	0.9670538286027488	-224668.58995911555
1400000	-232091.21077645308	-232302.33426087495	-211.12348442186627	0.9670538286027488	-224655.81745083837
1410000	-232100.71229589003	-232311.65023151788	-210.93793562785675	0.9670538286027488	-224664.8203827934
1420000	-232091.601425349	-232303.22182833697	-211.62040298795827	0.9670538286027488	-224656.69214791493
1430000	-232093.98762637976	-232304.0610483544	-210.0734219746333	0.9670538286027488	-224657.4527517442
1440000	-232082.07670523704	-232293.5240592274	-211.4473539903604	0.9670538286027488	-224647.30818186668
1450000	-232096.88971561327	-232308.95944365094	-212.06972803765024	0.9670538286027488	-224662.2555343114
1460000	-232095.63770795043	-232306.73948001242	-211.10177206199234	0.9670538286027488	-224660.07681953197
1470000	-232093.81731959927	-232304.73006614947	-210.91274655020888	0.9670538286027488	-224658.12738049563
1480000	-232094.19450658665	-232305.57635925963	-211.3818526729981	0.9670538286027488	-224658.96124673868
1490000	-232096.68196991665	-232308.85452908688	-212.1725591702314	0.9670538286027488	-224662.1574641727
1500000	-232094.4267771166	-232305.19709337808	-210.77031626147254	0.9670538286027488	-224658.5743284324
1510000	-232103.0467384755	-232315.01207574454	-211.96533726904897	0.9670538286027488	-224668.10531607454
1520000	-232090.6253074818	-232303.03997388665	-212.41466640487045	0.9670538286027488	-224656.54245281115
1530000	-232098.7113317705	-232310.10744576092	-211.39611399043744	0.9670538286027488	-224663.34352114328
1540000	-232103.54964910407	-232314.7273941848	-211.17774508071875	0.9670538286027488	-224667.80406553502
1550000	-232089.79202735468	-232300.8583991052	-211.06637175052936	0.9670538286027488	-224654.38833141958
1560000	-232083.71232692339	-232296.38660646262	-212.67427953923672	0.9670538286027488	-224650.11684162947
1570000	-232109.9545105548	-232322.46740134974	-212.51289079495126	0.9670538286027488	-224675.33305703683
1580000	-232116.3949074048	-232327.05735973493	-210.66245233012174	0.9670538286027488	-224679.7108290035
1590000	-232104.6080713786	-232317.1774007116	-212.56932933298995	0.9670538286027488	-224670.21920110015
1600000	-232096.62420962637	-232308.80173943253	-212.1775298061559	0.9670538286027488	-224662.10657749878
1610000	-232087.8512988041	-232298.90955800258	-211.05825919846632	0.9670538286027488	-224652.50342989244
1620000	-232079.89099025313	-232292.25859276098	-212.36760250785127	0.9670538286027488	-224646.11472634072
1630000	-232085.97242171745	-232297.25122559493	-211.27880387748488	0.9670538286027488	-224650.90699929133
1640000	-232085.61549299047	-232296.7598798892	-211.14438689871915	0.9670538286027488	-224650.42741302057
1650000	-232089.05862295162	-232301.06039171867	-212.0017687670612	0.9670538286027488	-224654.61448690025
1660000	-232080.4032663933	-232292.61566035065	-212.2123939573706	0.9670538286027488	-224646.4549163929
1670000	-232085.80138178106	-232298.13605688355	-212.33467510249537	0.9670538286027488	-224651.797465691
1680000	-232077.1195586297	-232287.97860843225	-210.85904980257152	0.9670538286027488	-224641.9260500733
1690000	-232074.24828816848	-232286.43057518813	-212.18228701964665	0.9670538286027488	-224640.4726141979
1700000	-232078.61148284245	-232289.43984873538	-210.82836589293944	0.9670538286027488	-224643.33813718558
1710000	-232086.15376483262	-232297.93496231278	-211.78119748016374	0.9670538286027488	-224651.5847614478
1720000	-232078.9906446489	-232290.7362358851	-211.745591236178	0.9670538286027488	-224644.62203240543
1730000	-232079.92896871088	-232291.95405915743	-212.0250904465394	0.9670538286027488	-224645.8089414924
1740000	-232077.29377253805	-232288.81660480375	-211.52283226570324	0.9670538286027488	-224642.75830676348
1750000	-232077.9279698431	-232289.7171360044	-211.78916616128612	0.9670538286027488	-224643.63794359102
1760000	-232097.24116894085	-232309.3998577403	-212.15868879945418	0.9670538286027488	-224662.68436935922
1770000	-232085.81496227643	-232298.4269635223	-212.6120012458724	0.9670538286027488	-224652.08792490442
