Parameter	Value	Uncertainty
nu1_1	1.028e-03	7.547e+00
nu2_1	4.069e-01	4.744e+00
nu1_2	6.149e-01	4.115e+00
nu2_2	1.042e+01	5.287e+02
nu1_3	1.033e+01	6.432e+01
nu2_3	2.535e+00	2.868e+01
T1	8.232e-01	4.885e+00
T2	2.020e-01	6.826e-01
T3	5.865e-02	1.703e-01
m1	5.958e-01	1.882e+01
m1i	1.076e-02	5.956e-01
m12_3	1.313e+01	8.823e+01
m21_3	7.184e-03	1.696e+00
m12_3i	3.464e-01	8.663e-01
m21_3i	8.227e+00	3.041e+01
P	3.239e-01	5.364e-01
