Parameter	Value	Uncertainty
nu1_1	1.633	1.900e+00
nu2_1	2.984	4.289e+00
nu1_2	2.917	1.833e+00
nu2_2	0.838	8.903e-01
nu1_3	6.633	5.677e+00
nu2_3	5.172	2.677e+00
T1	0.766	9.371e-01
T2	0.289	7.384e-01
T3	0.244	3.374e-01
m1	0.343	4.147e-01
m1i	0.62	1.035e+00
m12_3	1.065	8.396e-01
m21_3	4.199	6.899e+00
m12_3i	0.007	1.762e-01
m21_3i	0.282	2.177e-01
P	0.53	1.028e-01
