Parameter	Value	Uncertainty
nu1_1	4.832e+00	1.260e+01
nu2_1	2.207e+00	1.422e+01
nu1_2	1.471e+01	4.514e+01
nu2_2	1.136e+01	5.113e+01
T0	4.156e+00	1.696e+01
T	5.874e-01	1.525e+00
m12_1	2.351e-03	2.066e+00
m21_1	5.109e-01	4.082e+00
m12_2	5.914e-01	7.762e-01
m21_2	1.290e+00	1.752e+01
m12_1i	9.919e-02	5.919e-01
m21_1i	3.365e-01	2.690e+00
m12_2i	3.754e-02	5.438e-02
m21_2i	1.011e-01	6.428e-01
P	4.883e-01	1.312e+00
