Parameter	Value	Uncertainty
nu1_1	2.479e+00	3.976e+01
nu2_1	1.620e+00	2.337e+01
nu1_2	2.898e+00	4.823e+01
nu2_2	8.144e+00	1.289e+02
T0	1.547e+00	5.142e+01
T	2.912e-01	4.270e+00
m12_1	2.825e-03	5.334e+00
m21_1	3.302e-01	4.480e+00
m12_2	1.304e-01	3.827e+00
m21_2	4.033e-02	6.746e-01
m12_1i	7.819e-02	2.190e+01
m21_1i	2.851e+00	2.920e+01
m12_2i	7.365e-01	1.287e+01
m21_2i	8.903e-01	1.322e+01
P	4.805e-01	1.556e+00
