Parameter	Value	Uncertainty
nu0	0.262	4.173e+01
nu1_2	1.914	1.133e+01
nu2_2	1.369	7.212e+00
nu1_3	2.333	1.460e+01
nu2_3	6.282	3.127e+01
T1	0.049	5.680e+00
T2	1.062	2.624e+00
T3	0.236	1.908e+00
m	1.019	3.145e+00
mi	0.072	2.250e-02
m12_3	0.458	7.965e+00
m21_3	2.562	2.137e+01
m12_3i	0.03	2.500e+00
m21_3i	0.322	2.798e+00
P	0.517	3.821e-01
