Parameter	Value	Uncertainty
nu1_1	2.376	6.052e+01
nu2_1	1.929	7.505e+01
nu1_2	4.737	2.749e+01
nu2_2	4.557	2.106e+01
nu1_3	5.75	2.036e+01
nu2_3	16.078	6.018e+01
T1	2.085	2.295e+01
T2	3.019	6.922e+01
T3	0.564	2.285e+00
m1	0.473	2.228e+00
m1i	0.025	5.933e-02
m12_3	2.513	1.672e+01
m21_3	0.043	1.722e+00
m12_3i	0.09	7.064e-01
m21_3i	0.153	1.012e+00
P	0.537	6.779e-01
