Parameter	Value	Uncertainty
nu1_1	3.624e+00	6.142e-01
nu2_1	1.759e+00	3.284e-01
nu1_2	2.796e+00	4.345e-01
nu2_2	3.916e+00	6.065e-01
nu1_3	1.214e+01	2.671e+00
nu2_3	4.269e+00	9.738e-01
T1	2.420e+00	3.901e-01
T2	1.076e+00	1.722e-01
T3	1.822e-01	4.291e-02
m1	1.152e+00	2.641e-01
m1i	2.397e-02	1.579e-02
m12_3	7.799e-01	1.729e-01
m21_3	1.030e+00	2.378e-01
m12_3i	1.035e-01	1.594e-02
m21_3i	4.475e-01	4.976e-02
P	5.726e-01	1.526e-02
p_misid	1.080e-03	4.588e-04
