bams kmeans admix
MCDA10 1 1.3
MCDA11 3 1.4
MCDA12 3 1
MCDA13 3 1.3
MCDA14 3 1.4
MCDA15 1 3.4
MCDA16 3 1
MCDA17 1 3
MCDA19 1 3
MCDA1 3 1
MCDA20 1 3
MCDA2 1 2.3
MCDA3 3 1.3
MCDA4 1 1.3
MCDA5 1 3
MCDA6 3 1
MCDA7 3 1
MCDA8 4 1.2
MCDA9 4 1.2
MCDJ10 1 3
MCDJ11 1 3
MCDJ12 1 3
MCDJ13 2 4
MCDJ14 3 1
MCDJ15 2 2.4
MCDJ16 1 3
MCDJ17 1 3
MCDJ18 3 1.4
MCDJ19 1 3
MCDJ20 1 1.3
MCDJ3 1 3
MCDJ4 1 3
MCDJ5 1 3
MCDJ6 1 3
MCDJ7 1 3
MCDJ8 1 3
MCDJ9 1 3
MCNA10 2 2.4
MCNA11 4 2
MCNA12 4 2
MCNA13 4 2
MCNA14 4 2
MCNA15 4 2
MCNA16 2 4
MCNA17 4 1.2
MCNA18 4 2.4
MCNA19 4 2
MCNA1 2 4
MCNA20 2 2.4
MCNA2 4 2
MCNA3 4 2
MCNA4 4 2.4
MCNA5 4 2
MCNA6 4 2
MCNA7 4 2
MCNA8 1 3.4
MCNA9 2 4
MCNJ10 2 4
MCNJ13 4 2
MCNJ14 4 2
MCNJ15 2 4
MCNJ16 4 2
MCNJ17 2 4
MCNJ18 4 2
MCNJ19 4 2
MCNJ1 4 2
MCNJ20 2 4
MCNJ2 3 1
MCNJ3 4 2
MCNJ4 2 4
MCNJ5 4 2
MCNJ6 2 4
MCNJ7 2 4
MCNJ9 2 4
MCOA10 1 3
MCOA11 2 4
MCOA12 2 4
MCOA13 4 2
MCOA15 2 4
MCOA16 2 4
MCOA17 2 4
MCOA18 2 4
MCOA19 2 4
MCOA1 4 2
MCOA20 2 2.4
MCOA2 2 4
MCOA3 2 4
MCOA4 2 4
MCOA6 4 2
MCOA7 2 4
MCOA8 2 4
MCOA9 1 3
MCOJ10 2 4
MCOJ12 2 4
MCOJ14 2 4
MCOJ16 4 2
MCOJ17 4 2
MCOJ18 2 4
MCOJ19 4 2
MCOJ2 2 4
MCOJ3 2 4
MCOJ4 2 4
MCOJ5 2 4
MCOJ7 2 4
MCOJ8 2 4
MCOJ9 2 4
