bams kmeans admix
MCDA10 3 2.3
MCDA11 2 3
MCDA12 2 3
MCDA13 2 2.3
MCDA14 2 3
MCDA15 3 2.3
MCDA16 2 3
MCDA17 3 2
MCDA19 3 2
MCDA1 2 3
MCDA20 3 2
MCDA2 3 1.2
MCDA3 3 2.3
MCDA4 3 2
MCDA5 3 2
MCDA6 2 3
MCDA7 2 3
MCDA8 1 1
MCDA9 1 1.3
MCDJ10 3 2
MCDJ11 3 2
MCDJ12 3 2
MCDJ13 2 3
MCDJ14 2 1.3
MCDJ15 2 1.3
MCDJ16 3 2
MCDJ17 3 2
MCDJ18 2 3
MCDJ19 3 2
MCDJ20 3 2
MCDJ3 3 2
MCDJ4 3 2
MCDJ5 3 2
MCDJ6 3 2
MCDJ7 3 2
MCDJ8 3 2
MCDJ9 3 2
MCNA10 2 1.3
MCNA11 1 1
MCNA12 1 1
MCNA13 1 1
MCNA14 1 1
MCNA15 1 1
MCNA16 2 3
MCNA17 1 1
MCNA18 1 1.3
MCNA19 1 1
MCNA1 2 3
MCNA20 2 1.3
MCNA2 1 1
MCNA3 1 1
MCNA4 1 1.3
MCNA5 1 1
MCNA6 1 1
MCNA7 1 1
MCNA8 3 2.3
MCNA9 2 3
MCNJ10 2 3
MCNJ13 1 1
MCNJ14 1 1
MCNJ15 2 3
MCNJ16 1 1
MCNJ17 2 3
MCNJ18 1 1
MCNJ19 1 1
MCNJ1 1 1
MCNJ20 2 3
MCNJ2 2 1.3
MCNJ3 1 1
MCNJ4 2 3
MCNJ5 1 1
MCNJ6 2 3
MCNJ7 2 3
MCNJ9 2 3
MCOA10 3 2
MCOA11 2 3
MCOA12 2 3
MCOA13 1 1
MCOA15 2 3
MCOA16 2 3
MCOA17 2 3
MCOA18 2 3
MCOA19 2 3
MCOA1 1 1
MCOA20 2 1.3
MCOA2 2 3
MCOA3 2 3
MCOA4 2 3
MCOA6 1 1
MCOA7 2 3
MCOA8 2 3
MCOA9 3 2
MCOJ10 2 3
MCOJ12 2 3
MCOJ14 2 3
MCOJ16 1 1
MCOJ17 1 1
MCOJ18 2 3
MCOJ19 1 1
MCOJ2 2 3
MCOJ3 2 3
MCOJ4 2 3
MCOJ5 2 3
MCOJ7 2 3
MCOJ8 2 3
MCOJ9 2 3
