Parameter	Value	Uncertainty
nu1_1	0.447	1.307e+01
nu2_1	1.51	7.035e+01
nu1_2	1.58	8.275e+00
nu2_2	2.463	1.453e+01
nu1_3	7.137	4.144e+01
nu2_3	2.633	1.600e+01
T1	0.966	1.377e+01
T2	1.076	9.971e+00
T3	0.109	7.308e-01
m1	0.039	2.783e-01
m1i	2.424	2.051e+01
m12_3	0.17	7.094e-01
m21_3	0.628	3.126e+00
m12_3i	1.627	1.882e+00
m21_3i	0.202	4.699e+00
P	0.446	4.472e-01
