bams kmeans admix
SSDA10 2 1
SSDA11 2 1
SSDA12 2 1
SSDA13 2 1
SSDA14 1 3
SSDA15 1 1.3
SSDA16 2 1
SSDA17 1 3
SSDA18 2 1
SSDA19 2 1
SSDA1 2 4
SSDA20 2 1
SSDA2 1 3
SSDA3 2 1.4
SSDA4 1 3.4
SSDA5 1 3.4
SSDA6 2 1
SSDA7 2 1
SSDA8 1 3
SSDA9 2 1
SSDJ10 2 1
SSDJ11 2 1
SSDJ12 2 1
SSDJ13 2 1.4
SSDJ14 1 3
SSDJ15 2 1
SSDJ16 2 1
SSDJ17 2 1
SSDJ18 2 1
SSDJ19 2 1
SSDJ1 2 1.4
SSDJ20 2 1.4
SSDJ2 2 1
SSDJ3 1 3
SSDJ4 2 1.4
SSDJ5 2 1.4
SSDJ6 2 4
SSDJ7 2 1
SSDJ8 2 1
SSDJ9 2 1
SSNA10 2 4
SSNA11 2 1
SSNA12 2 4
SSNA13 2 1
SSNA14 3 1.3
SSNA15 2 1
SSNA16 3 1
SSNA17 2 1
SSNA18 3 1
SSNA19 2 1
SSNA1 2 1
SSNA20 3 1
SSNA2 2 1.4
SSNA3 2 1.4
SSNA4 2 1.4
SSNA5 2 1
SSNA6 2 1
SSNA7 2 1.4
SSNA8 2 1.4
SSNA9 2 1
SSNJ10 2 1
SSNJ11 3 1.3
SSNJ12 4 3
SSNJ13 4 3
SSNJ17 2 1
SSNJ18 4 3
SSNJ19 4 3
SSNJ1 4 3.4
SSNJ20 2 1
SSNJ2 2 1
SSNJ3 2 1
SSNJ4 2 1.4
SSNJ5 2 1
SSNJ6 2 4
SSNJ7 2 1
SSNJ8 2 1
SSNJ9 2 1
SSOA10 2 1.4
SSOA11 2 4
SSOA14 2 4
SSOA15 3 2
SSOA16 2 1.4
SSOA17 2 1.4
SSOA18 2 4
SSOA19 2 1.4
SSOA20 2 1
SSOA2 2 4
SSOA3 3 2.4
SSOA4 2 4
SSOA5 2 4
SSOA7 2 4
SSOA8 2 1.4
SSOJ10 2 1.4
SSOJ11 2 1.3
SSOJ12 2 1
SSOJ13 2 1
SSOJ14 1 3
SSOJ15 2 1
SSOJ16 2 1
SSOJ17 2 4
SSOJ18 2 4
SSOJ19 3 2
SSOJ1 2 1.4
SSOJ20 3 2
SSOJ2 2 1.4
SSOJ3 2 1.4
SSOJ4 2 1.4
SSOJ5 3 3.4
SSOJ6 2 1
SSOJ7 2 1.4
SSOJ8 2 1.4
SSOJ9 2 1.4
