Parameter	Value	Uncertainty
nu1_1	0.189	1.436e+00
nu2_1	7.444	7.229e+01
nu1_2	2.126	3.268e+00
nu2_2	1.806	5.422e+00
nu1_3	7.894	6.761e+00
nu2_3	2.49	1.117e+00
T1	0.399	5.607e+00
T2	1.26	5.529e-01
T3	0.308	6.735e-01
m1	1.078	8.250e-01
m1i	0.06	1.851e-01
m12_3	1.329	5.131e+00
m21_3	1.348	1.651e+01
m12_3i	0.336	1.526e+00
m21_3i	0.475	3.480e+00
P	0.273	1.025e-01
