Parameter	Value	Uncertainty
nu1_1	3.025	1.196e+01
nu2_1	1.549	7.079e+00
nu1_2	8.975	3.908e+01
nu2_2	2.84	1.391e+01
T0	1.908	1.436e+01
T	0.356	1.475e+00
m12_1	0.042	1.279e+00
m21_1	1.47	1.168e+00
m12_2	1.047	4.163e+00
m21_2	1.38	1.060e+01
m12_1i	0.238	8.595e-01
m21_1i	0.688	3.927e+00
m12_2i	0.04	2.104e-01
m21_2i	0.029	1.550e-01
P	0.322	3.029e-01
