Parameter	Value	Uncertainty
nu0	0.16	4.358e+00
nu1_2	2.459	1.325e+01
nu2_2	1.251	4.639e+00
nu1_3	7.41	3.422e+01
nu2_3	2.462	1.249e+01
T1	0.266	5.564e+00
T2	2.24	1.819e+01
T3	0.292	1.543e+00
m	1.385	4.140e+00
mi	0.042	1.215e-01
m12_3	0.023	4.534e+00
m21_3	2.182	1.485e+01
m12_3i	0.301	1.598e+00
m21_3i	0.831	1.540e+00
P	0.317	4.177e-01
