Parameter	Value	Uncertainty
nu1_1	0.843	3.146e+01
nu2_1	10.842	4.332e+02
nu1_2	2.824	6.335e+01
nu2_2	0.636	4.097e+00
nu1_3	7.337	1.636e+02
nu2_3	2.05	5.507e+01
T1	1.295	8.283e+01
T2	0.694	5.962e+00
T3	0.187	3.311e+00
m12_1	0.355	8.182e+00
m21_1	3.285	6.737e+00
m12_3	0.292	8.136e+00
m21_3	1.077	3.138e+01
