Parameter	Value	Uncertainty
nu1_1	2.826e+00	2.146e+01
nu2_1	1.364e+00	7.288e+00
nu1_2	8.065e+00	6.455e+01
nu2_2	2.732e+00	2.398e+01
T0	1.588e+00	2.490e+01
T	3.193e-01	2.915e+00
m	6.432e-02	9.351e-01
mi	1.351e+00	1.455e+01
m12_2	2.289e-01	1.645e+00
m21_2	7.747e-01	4.469e+00
m12_2i	1.059e-05	6.071e-02
m21_2i	1.783e+00	7.105e+00
P	6.579e-01	8.635e-01
