contrast,wtsc1,wtcs2,wtsc3
p12,0.999905843540511,103.051541699274,0.990389378343954
p13,6.83287447006406e-18,2.61397675392572e-09,2.61397674709285e-09
p14,1.60143378816551e-11,4.00179183390536e-06,4.00177581963156e-06
p23,7.01102141567962e-15,8.37318423043448e-08,8.3731835293324e-08
p24,0.000150996462809415,0.0122889896323671,0.0121398037104306
p34,0.999999345252783,1235.84221847061,0.999191489435705
