Parameter	Value	Uncertainty
nu1_1	5.760e+00	3.219e+00
nu2_1	2.098e+00	1.018e+00
nu1_2	1.933e+01	9.741e+00
nu2_2	5.583e+00	2.708e+00
T0	4.367e+00	2.759e+00
T	5.024e-01	2.146e-01
m	5.268e-01	4.165e-01
mi	1.471e-02	4.926e-02
m12_2	3.263e-01	4.870e-01
m21_2	2.393e+00	7.346e-01
m12_2i	1.296e-01	8.061e-02
m21_2i	6.090e-01	4.829e-01
P	2.736e-01	1.224e-01
p_misid	1.511e-03	6.595e-04
