Parameter	Value	Uncertainty
nu1_1	5.522e+00	2.649e+00
nu2_1	1.958e+00	3.763e-01
nu1_2	1.921e+01	7.648e+00
nu2_2	5.033e+00	2.115e+00
T0	4.269e+00	2.329e+00
T	5.194e-01	2.280e-01
m12_1	3.846e-01	5.669e-01
m21_1	1.938e+00	1.457e+00
m12_2	3.373e-01	1.639e-01
m21_2	7.508e-01	2.200e-01
m12_1i	1.448e-01	1.069e-01
m21_1i	5.353e-01	4.841e-01
m12_2i	4.418e-03	1.178e-02
m21_2i	1.548e-02	3.274e-01
P	2.203e-01	6.854e-02
p_misid	1.293e-03	6.417e-04
