Parameter	Value	Uncertainty
nu0	7.633e+00	8.073e-01
nu1_2	3.629e+00	1.092e+00
nu2_2	1.519e+00	4.895e-01
nu1_3	1.738e+01	2.648e+00
nu2_3	4.348e+00	7.326e-01
T1	3.465e+00	7.044e-01
T2	3.750e-01	1.038e-01
T3	6.131e-01	8.934e-02
m12_3	3.855e-01	1.077e-01
m21_3	1.253e+00	2.797e-01
m12_3i	1.863e-02	1.439e-02
m21_3i	1.425e-02	1.040e-01
P	2.606e-01	6.865e-02
p_misid	1.274e-03	4.418e-04
