Parameter	Value	Uncertainty
nu1_1	1.220e+00	8.877e-01
nu2_1	1.956e+00	1.271e+00
nu1_2	4.174e+00	2.692e+00
nu2_2	2.776e+00	1.721e+00
T0	1.262e+00	1.769e+00
T	7.371e-01	2.308e-01
m	1.495e+02	2.406e+02
mi	1.037e-03	2.764e-01
m12_2	1.345e-01	1.014e-01
m21_2	1.601e+00	9.788e-01
m12_2i	8.830e-02	7.157e-02
m21_2i	2.876e-01	1.458e-01
P	4.096e-01	6.545e-02
p_misid	1.043e-03	3.289e-03
