Parameter	Value	Uncertainty
nu1_1	6.469e+00	2.003e+00
nu2_1	1.201e+01	9.324e+00
nu1_2	5.710e+00	3.021e+00
nu2_2	6.204e+00	1.759e+00
nu1_3	2.939e+01	1.179e+01
nu2_3	5.692e+00	3.416e+00
T1	8.271e+00	3.003e+00
T2	1.410e+00	1.177e+00
T3	7.021e-01	2.438e-01
m1	1.279e-01	5.872e-02
m1i	8.134e-03	3.727e-03
m12_3	9.906e-01	7.100e-01
m21_3	7.566e-01	6.549e-01
m12_3i	4.397e-02	2.321e-02
m21_3i	1.853e-01	1.244e-01
P	5.219e-01	4.279e-02
p_misid	1.029e-05	1.174e-04
