bams kmeans admix
MCDA10 1 3
MCDA11 1 3
MCDA12 4 4
MCDA13 4 4
MCDA14 4 4
MCDA15 1 3
MCDA17 1 3
MCDA19 2 2
MCDA1 4 4
MCDA20c-3 1 3
MCDA2 1 3
MCDA4 4 4
MCDA5 1 3
MCDA6 1 3
MCDA7 1 3
MCDA9 1 3
MCDJ10 4 4
MCDJ11 1 3
MCDJ12 4 4
MCDJ14 1 3
MCDJ15 1 3
MCDJ16 1 3
MCDJ17 1 3
MCDJ18 1 3
MCDJ19c-1 2 2.4
MCDJ1 1 3
MCDJ20 1 3
MCDJ4 1 3
MCDJ6 1 3
MCDJ7 1 3
MCDJ8 1 3
MCDJ9 1 3
MCNA10 3 1
MCNA11 3 1
MCNA12 2 2
MCNA13 3 1
MCNA14 2 2
MCNA18 2 2
MCNA19 3 1
MCNA1 3 1
MCNA20 3 1
MCNA2 2 2
MCNA3 3 1
MCNA4 3 1
MCNA5 3 1
MCNA6 3 1
MCNA7 3 1
MCNA8 3 1
MCNA9 3 1
MCNJ10 3 1
MCNJ11 3 1
MCNJ12 2 2
MCNJ13 3 1
MCNJ14 2 2
MCNJ15c 3 1
MCNJ16 2 2
MCNJ17 3 1
MCNJ18 2 1.2
MCNJ19 2 2
MCNJ1 3 1
MCNJ20 3 1
MCNJ2 3 1
MCNJ3 2 2
MCNJ5c 2 2
MCNJ6 3 1
MCNJ7 3 1
MCNJ8 2 2
MCNJ9 3 1.2
MCOA10 2 2.4
MCOA11 2 1.2
MCOA12 3 1
MCOA13 2 2
MCOA14 2 2
MCOA15 3 1
MCOA16 4 4
MCOA17 2 2
MCOA18 2 2
MCOA19 3 1
MCOA1 2 2
MCOA20 3 1
MCOA2 2 2
MCOA3 2 2.4
MCOA4 2 2
MCOA6 3 1
MCOA7 2 2
MCOA8 2 2
MCOA9 2 2
MCOJ10 2 2
MCOJ11 2 2
MCOJ12 3 1
MCOJ13 3 1
MCOJ14 2 2
MCOJ15 3 1
MCOJ16 3 1
MCOJ17 2 2
MCOJ18 3 1
MCOJ19 2 2
MCOJ1 3 1
MCOJ2 2 2
MCOJ3 2 2
MCOJ4 3 1
MCOJ5c 3 1
MCOJ6 2 2
MCOJ7 2 1.2
MCOJ8 2 2
MCOJ9 3 1
