bams kmeans admix
MCDA10 2 2
MCDA11 2 2
MCDA12 1 1
MCDA13 1 1
MCDA14 1 1
MCDA15 2 2
MCDA17 2 2
MCDA19 1 1
MCDA1 1 1
MCDA20c-3 2 2
MCDA2 2 2
MCDA4 1 1
MCDA5 2 2
MCDA6 2 2
MCDA7 2 2
MCDA9 2 2
MCDJ10 1 1
MCDJ11 2 2
MCDJ12 1 1
MCDJ14 2 2
MCDJ15 2 2
MCDJ16 2 2
MCDJ17 2 2
MCDJ18 2 2
MCDJ19c-1 1 1
MCDJ1 2 2
MCDJ20 2 2
MCDJ4 2 2
MCDJ6 2 2
MCDJ7 2 2
MCDJ8 2 2
MCDJ9 2 2
MCNA10 1 1
MCNA11 1 1
MCNA12 1 1
MCNA13 1 1
MCNA14 1 1
MCNA18 1 1
MCNA19 1 1
MCNA1 1 1
MCNA20 1 1
MCNA2 1 1
MCNA3 1 1
MCNA4 1 1
MCNA5 1 1
MCNA6 1 1
MCNA7 1 1
MCNA8 1 1
MCNA9 1 1
MCNJ10 1 1
MCNJ11 1 1
MCNJ12 1 1
MCNJ13 1 1
MCNJ14 1 1
MCNJ15c 1 1
MCNJ16 1 1
MCNJ17 1 1
MCNJ18 1 1
MCNJ19 1 1
MCNJ1 1 1
MCNJ20 1 1
MCNJ2 1 1
MCNJ3 1 1
MCNJ5c 1 1
MCNJ6 1 1
MCNJ7 1 1
MCNJ8 1 1
MCNJ9 1 1
MCOA10 1 1
MCOA11 1 1
MCOA12 1 1
MCOA13 1 1
MCOA14 1 1
MCOA15 1 1
MCOA16 1 1
MCOA17 1 1
MCOA18 1 1
MCOA19 1 1
MCOA1 1 1
MCOA20 1 1
MCOA2 1 1
MCOA3 1 1
MCOA4 1 1
MCOA6 1 1
MCOA7 1 1
MCOA8 1 1
MCOA9 1 1
MCOJ10 1 1
MCOJ11 1 1
MCOJ12 1 1
MCOJ13 1 1
MCOJ14 1 1
MCOJ15 1 1
MCOJ16 1 1
MCOJ17 1 1
MCOJ18 1 1
MCOJ19 1 1
MCOJ1 1 1
MCOJ2 1 1
MCOJ3 1 1
MCOJ4 1 1
MCOJ5c 1 1
MCOJ6 1 1
MCOJ7 1 1
MCOJ8 1 1
MCOJ9 1 1
