Parameter	Value	Uncertainty
nu1_1	3.168e+00	1.012e+00
nu2_1	2.991e+00	1.087e+00
nu1_2	5.964e+00	5.336e-01
nu2_2	4.986e+00	8.548e-01
nu1_3	1.692e+01	1.892e+00
nu2_3	1.863e+01	1.935e+00
T1	3.070e+00	4.937e-01
T2	1.707e+00	2.322e-01
T3	3.682e-01	4.212e-02
m1	1.220e+00	1.492e-01
m1i	1.969e-01	4.065e-02
m12_3	6.591e-01	1.135e-01
m21_3	3.991e-01	1.597e-01
m12_3i	2.290e-01	4.013e-02
m21_3i	2.246e-01	7.905e-02
P	1.744e-01	2.966e-02
p_misid	8.232e-04	2.640e-04
