Parameter	Value	Uncertainty
nu1_1	4.454e+01	1.019e+01
nu2_1	8.203e+00	3.322e-01
nu1_2	1.142e+01	2.034e+00
nu2_2	2.755e+01	2.960e+00
T0	2.041e+01	3.033e+00
T	4.729e+00	8.463e-01
m	1.460e+01	2.726e-01
mi	7.001e-02	8.721e-03
m12_2	8.514e-01	7.860e-01
m21_2	1.982e-05	1.249e-01
m12_2i	6.186e-03	5.403e-03
m21_2i	3.085e-02	6.274e-03
P	8.060e-01	4.263e-02
p_misid	4.931e-04	4.944e-04
