bams kmeans admix
SSDA10 4 3
SSDA11 3 1
SSDA12 4 3
SSDA13 3 1
SSDA14 1 5
SSDA15 4 3
SSDA16 4 3
SSDA17 4 3
SSDA18 4 3
SSDA19_filt 4 3
SSDA1 4 3
SSDA20c-3 4 3
SSDA2 3 1
SSDA3 4 3
SSDA4 4 3
SSDA5 4 3
SSDA6 3 1
SSDA7 4 3
SSDA8 4 3
SSDA9 3 1
SSDJ10 1 5
SSDJ11 1 5
SSDJ12 1 5
SSDJ13 1 4
SSDJ14 4 3
SSDJ15 3 1
SSDJ17 1 5
SSDJ18 1 4.5
SSDJ19c-1 3 1
SSDJ1 3 1
SSDJ20c-2 4 3
SSDJ2 1 5
SSDJ3 4 3
SSDJ4 1 5
SSDJ5 4 3
SSDJ6 3 1
SSDJ7 1 5
SSDJ8 4 3
SSDJ9 4 3
SSNA10 1 5
SSNA11 2 2
SSNA12 1 5
SSNA13 1 5
SSNA14 1 5
SSNA15 1 5
SSNA16 1 4
SSNA17 1 5
SSNA18 2 2
SSNA19 1 4
SSNA20 1 4.5
SSNA2 2 2
SSNA3 2 2
SSNA4 1 5
SSNA5 1 5
SSNA6 1 5
SSNA7 1 5
SSNA8 1 5
SSNA9 1 5
SSNJ10 5 2.3
SSNJ11 1 5
SSNJ12 1 5
SSNJ13 1 5
SSNJ14 1 5
SSNJ15 1 5
SSNJ16 5 4
SSNJ17 5 4
SSNJ18 1 5
SSNJ1 1 5
SSNJ2 1 5
SSNJ3 1 5
SSNJ4 1 5
SSNJ5 1 5
SSNJ6 1 5
SSNJ7 1 5
SSNJ8 1 5
SSNJ9 2 2.5
SSOA10 1 5
SSOA11 2 2
SSOA12 1 5
SSOA13 1 5
SSOA14 1 5
SSOA15 1 5
SSOA16 1 4
SSOA17 1 4
SSOA18 5 4
SSOA19 1 4
SSOA1 2 2
SSOA20 1 4
SSOA2 2 2
SSOA3 1 5
SSOA5 1 5
SSOA6 1 5
SSOA7 1 5
SSOA9 1 5
SSOJ10 1 5
SSOJ11 1 5
SSOJ12 1 5
SSOJ14 1 5
SSOJ15 1 5
SSOJ16 1 4.5
SSOJ17 5 4
SSOJ19 5 4
SSOJ1 1 5
SSOJ20c-1 1 4
SSOJ2 1 5
SSOJ3 1 5
SSOJ4 1 5
SSOJ5 1 5
SSOJ6 1 5
SSOJ7 1 5
SSOJ8 1 5
SSOJ9 1 5
