Parameter	Value	Uncertainty
nu1_1	3.184	1.247e+01
nu2_1	1.771	6.184e+00
nu1_2	10.499	4.235e+01
nu2_2	8.499	3.385e+01
T0	2.27	1.507e+01
T	0.316	1.415e+00
m12_1	0.047	4.660e-01
m21_1	0.985	2.785e+00
m12_2	0.982	4.322e+00
m21_2	1.522	6.266e+00
m12_1i	0.109	2.126e-01
m21_1i	0.344	1.025e+00
m12_2i	0.064	3.306e-01
m21_2i	0.081	3.224e-01
P	0.537	2.558e-02
