Parameter	Value	Uncertainty
nu1_1	1.990e-01	4.908e+00
nu2_1	1.258e+01	1.536e+01
nu1_2	4.612e+00	9.893e+00
nu2_2	2.523e+00	5.607e+00
nu1_3	1.453e+01	3.119e+01
nu2_3	1.253e+01	2.601e+01
T1	1.555e+00	1.220e+01
T2	3.962e+00	1.123e+01
T3	4.481e-01	1.067e+00
m1	4.050e-02	1.228e-01
m1i	7.541e-01	1.916e+00
m12_3	9.944e-02	1.679e-01
m21_3	2.901e-01	4.714e-01
m12_3i	3.292e-04	1.518e-01
m21_3i	1.237e+00	1.876e+00
P	5.027e-01	1.418e-01
